"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
115.840833,4.566667,"Dendrophthoe constricta",2513941014,"Ulu Tomani, 3 mile from Kg. Kaang.","MYS",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.33333,-1.033333,"Dendrophthoe constricta",2513940599,"East Borneo; Kutai; G. Beratus (Peak of Balikpapan) terrace Sulau Mandau.","IDN",NA,1952,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
121.283333,-2.483333,"Dendrophthoe constricta",2513940338,"S shore of Laka Matano W of Soroako, Taipa","IDN",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.05,-0.6,"Dendrophthoe constricta",2513941640,"Borneo, Loa Haur, west of Samarinda.","IDN",NA,1952,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
119.8,-0.616667,"Dendrophthoe constricta",2513939305,"Celebes, Central Sulawesi, North arm near Batu Sowia c. 50 km N.of Palu. Remants of primary forest S. of Oti along the road close to the seashore.","IDN",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.805,5.469167,"Dendrophthoe constricta",2513941542,"Bintang Mas logging area. Karamuak.","MYS",NA,1975,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.51,0.27,"Dendrophthoe constricta",2513941184,"E. Kalimantan; Kutai Reserve, N. of Samarinda; Telok Kaba.","IDN",NA,1971,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
113.923962,4.243805,"Dendrophthoe constricta",2513941337,"6½ miles Bakam Road, Miri.","MYS",NA,1966,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.540833,6.088333,"Dendrophthoe constricta",2513940681,"Mt. Kinabalu; Ulu Liwagu and Ulu Mesilau.","MYS",NA,1961,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.633333,3.3,"Dendrophthoe constricta",2513941603,"East Borneo, Tarakan, oilfield Pamusion.","IDN",NA,1953,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
114.833333,4.883333,"Dendrophthoe constricta",2513941740,"Brunei, Bandar Soeri Begawan, Seng kurong.","BRN",NA,1988,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
118.174167,4.666667,"Dendrophthoe constricta",2513941985,"Mostyn-Silam Road, Lahad Datu.","MYS",NA,1970,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
115.616666,4.866666,"Dendrophthoe constricta",2513940209,"Bukit batangan at meligan Range, Lawas, 5th Div.","MYS",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
117.483333,2.15,"Dendrophthoe constricta",2513939695,"Indonesia; East Borneo; Berau; Tdg. Redeb.","IDN",NA,1963,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
110.933333,1.166667,"Dendrophthoe constricta",2513940425,"Gunung Buri, 75 th Mile, 1st/2nd Div Boundary","MYS",NA,1975,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
