"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-104.612689,32.127163,"Desmanthus velutinus",1843881957,"Carlsbad Caverns NP.","USA",100,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-104.501835,32.168996,"Desmanthus velutinus",1843884743,"Carlsbad Caverns NP.","USA",100,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-99.504769,30.077509,"Desmanthus velutinus",2807630008,"In pasture, Kerr Wildlife Management Area, about 30 miles northwest of Kerrville.","USA",NA,1958,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.18504,31.34994,"Desmanthus velutinus",2807500510,"Northeast of Brady, along Highway 377, 17.4 miles north of junction with Highway 87.","USA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.733144,32.318126,"Desmanthus velutinus",2807481060,"On side of hill, limestone hills, cedar breaks 9 miles south of Abilene, off Hwy. 83, above roadside park.","USA",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-102.55,29.13333,"Desmanthus velutinus",2807207264,"21.5 kmE of Rancho El Jardín, 13.5 NW of La Huerfanita on the winding rd between them; E of Pico Centinela","MEX",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-98.14778,29.63833,"Desmanthus velutinus",2807257542,"House located and accessed off of Creek Road and is part of the Weston Ranch.","USA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-98.63553,32.71886,"Desmanthus velutinus",2807360170,"Along main internal road in S part of Sneed property, ca. 1.9-2.0 airmiles E to ENE of jct. US Rt. 180 and Park Road 33 at Caddo. Caddo Quadrangle.","USA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-97.98048,29.57068,"Desmanthus velutinus",3866884309,"Seguin. Vacant lot on Vickers Avenue.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.73333,31.05,"Desmanthus velutinus",2807555660,"Southcentral part of county where Hwy. 83 crosses into Mason County.","USA",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
