"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.86666,-15.41666,"Dialium unifoliolatum",1258347111,"Massif Farankaraina, Est Maroantsetra, Ouest de Navana","MDG",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.236944,-17.888055,"Dialium unifoliolatum",2268867837,"District Toamasina II, Commune Rurale Ambodiriana, Fokontany Analamangahazo, village le plus proche : Marovato, forêt d'Agnalahely.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.576945,-19.158889,"Dialium unifoliolatum",4061406512,"Atsinanana, Vatomandry, Ambalabe, Sahanionaka. Forêt de Vohibe, au Nord du campement Antenanala. Récoltés avec Célestin, Dimby et Dera. Échantillons préservés en alcool.","MDG",NA,2021,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.166111,-19.033056,"Dialium unifoliolatum",1257896940,"Moramanga, Ambohibary, Antsily, Besarika.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.235833,-18.042222,"Dialium unifoliolatum",4031986640,"District de Toamasina II, Commune Suburbaine de Toamasina, Fokontany d'Ampasimazava, forêt de Lohan'Sahamalaza.","MDG",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.663889,-14.602778,"Dialium unifoliolatum",2516119739,"Antsiranana. Marojejy RNI, Andapa. Environ 3.5 km a vol d'oiseau de Marovato (80° nord-est) et 2 km a vol d'oiseau de Sarahandrano (60°) soit 8 km evirons a pied.","MDG",NA,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
49.633333,-13.25,"Dialium unifoliolatum",1261495430,"Analamazava, part of Binara Range, SW of Daraina (Vohemar), Faritany Antsiranana.","MDG",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.391667,-17.283333,"Dialium unifoliolatum",2515939522,"Toamasina. Denerive-Est. Tampolo Station. Forestier.","MDG",NA,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
50.483333,-15.3,"Dialium unifoliolatum",2517815508,"Antsiranana. Masoala PN. Antalaha. Ambohitralalana (Cap-Est). Sud-Est de Tananandavehely (Antanainady).","MDG",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
49.618611,-15.381389,"Dialium unifoliolatum",2516117510,"Toasmasina. Remnant native vegetation amongst close trees. 1-2 km E of Fampanambo.","MDG",NA,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
