"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
43.803177,-23.4908,"Dicraeopetalum mahafaliense",2981779318,"Location: Ancienne route de St Augustin.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.239065,-22.227188,"Dicraeopetalum mahafaliense",4061383980,"Location: Tampolo Ve.","MDG",NA,2019,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.93333,-23.31666,"Dicraeopetalum mahafaliense",4062006968,"Bush aux environs de Befoly (PK 35-40) route Tana.","MDG",NA,1958,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.76666,-24.06666,"Dicraeopetalum mahafaliense",1258284140,"Reserve du Lac Tsimanampetsotsa (No. 10); NW corner of Reserve, on escarpment of calcareous plateau. With Z.L. Randriarimalala & J.L. Andriantiana.","MDG",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
44.483333,-20.15,"Dicraeopetalum mahafaliense",4031921491,"Dry Forest north of Morondave.","MDG",NA,1996,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
43.363056,-21.748889,"Dicraeopetalum mahafaliense",2429192109,"","MDG",2259,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
44.43,-24.85,"Dicraeopetalum mahafaliense",1830960739,"S Madagascar, Toliara (Tulear) Province, c. 39 km south-west of Ampanihy, on route to the mouth of the River Linta.","MDG",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
44.8,-20.4,"Dicraeopetalum mahafaliense",439573646,"","MDG",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
44.68333,-25.01666,"Dicraeopetalum mahafaliense",4060922552,"Sud: Sur la route d'Ampanihy à Bevoalavo, au Sud de l'embranchement de Befotaka, Calcaires et argiles","MDG",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.4625,-22.939722,"Dicraeopetalum mahafaliense",4061981914,"Fivondronana: Toliary II, Commune: Manombo. Route Manombo-Horombe. Forêt de Mikea à 3 km au Nord de Manombo. Récolté avec A. Ratodimanana, T. Razafindrabeaza, H. Razafindraibe, S. Randrianarisoa & E. Rafalimanana.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.6175,-23.06694,"Dicraeopetalum mahafaliense",4062102593,"Tuléar II, Belalanda, Ranobe. Formation sableuse sur calcaire.","MDG",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.758333,-23.55,"Dicraeopetalum mahafaliense",1258354785,"Saint Augustin, Tulear.","MDG",NA,1955,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46,-22.41667,"Dicraeopetalum mahafaliense",439579752,"","MDG",NA,1967,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
44.23333,-23.7,"Dicraeopetalum mahafaliense",438573569,"","MDG",NA,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
44.05,-23.18333,"Dicraeopetalum mahafaliense",437242246,"","MDG",NA,1961,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
44.2,-23.86666,"Dicraeopetalum mahafaliense",1258279557,"Itambono Corridor between Betioky and Beheloka, 18 km from R.N. 10.","MDG",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.46666,-22.53333,"Dicraeopetalum mahafaliense",1260864564,"Forêt de Mikea - Piste Ampasikibo - Salary","MDG",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
43.85,-23.35,"Dicraeopetalum mahafaliense",2515821025,"RN 7, 27 km from Tulear.","MDG",NA,1987,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
43.318648,-22.656605,"Dicraeopetalum mahafaliense",3039455783,"","MDG",6,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
43.66667,-22.935,"Dicraeopetalum mahafaliense",437945616,"","MDG",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
