"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-62.856688,-6.420773,"Dipteryx odorata",1929553097,"BR 319, Km 510, Manaus-Porto Velho Road, 6 Km north of Rio Purusinho","BRA",NA,1974,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-59.986585,-2.390061,"Dipteryx odorata",1929837530,"Ca 90 km de Manaus, Distrito Agropecuário da Suframa, Rodovia BR-174, km 64, depois 7 km leste na ZF-3, Fazenda Porto Alegre. Reserva nº 3304, Árvore nº 1397.","BRA",NA,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-67.91083,-14.17027,"Dipteryx odorata",4061934182,"Parque Nacional Madidi. Bosque tropical lluvioso primario. Tierra firme fuerte pendiente, región de Tumupasa","BOL",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-60.81277,-13.89472,"Dipteryx odorata",1258363887,"Parque Nacional Noel Kempff Mercado colecta general de Huanchaca I","BOL",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-59.7458,-2.41625,"Dipteryx odorata",1702826463,"Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA MCS Project","BRA",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-65.25,-10.716667,"Dipteryx odorata",2998187426,"On N side of westermost hill (with Embratel antennas) of Serra Pacaas Novas. 6km NE of Guajara-Mirim, then 2km E on gravel road.","BRA",NA,1987,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-59.966667,-2.883333,"Dipteryx odorata",2998219708,"Próximo ao campo de futebol. Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Planta fichada: 2124-07.","BRA",NA,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-56.383333,-1.466667,"Dipteryx odorata",2998482314,"Área da Mineração Rio Norte. Entre a vila comercial e o clube MEC.","BRA",NA,1987,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-55.22,-9.59,"Dipteryx odorata",2998354319,"Parque Estadual Cristalino. Limite Leste do Parque, rea de campinarana e floresta em solo arenoso.GPS :R 013","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-55.93,-9.63,"Dipteryx odorata",2998594381,"Ilha Ariosto da Riva, no Rio Teles Pires.GPS :Z 001","BRA",NA,2006,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
