"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-59.95,-2.366667,"Dipteryx polyphylla",2998178256,"90km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 7km leste na ZF3, Fazenda Porto Alegre.","BRA",NA,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-59.966667,-2.883333,"Dipteryx polyphylla",2998487297,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarapé do Tinga.","BRA",NA,1995,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-68.935084,-3.471174,"Dipteryx polyphylla",1930688010,"Alto Solimões, estrada do Bonfim, logo após a saída da cidade de São Paulo de Olivença.","BRA",NA,1986,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-68.17,-3.416667,"Dipteryx polyphylla",1042548683,"São Domingos. Mata de terra firme. Locais úmidos próximo a riacho.","BRA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-59,-2.366667,"Dipteryx polyphylla",1042649366,"Distrito Agropecuário, ZF3, Ca 90 km N de Manaus, Distrito Agropecuário da Suframa, Rodovia BR-174, km 64, depois 7 km leste na ZF-3, Fazenda Porto Alegre, Reserva nº 3304. Árvore nº 1730","BRA",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-60,-2.316667,"Dipteryx polyphylla",1042561990,"Distrito Agropecuário, ZF3, Distrito Agropecuário da Suframa, Rodovia BR-174, km 72 depois 6 km Oeste da BR, Fazenda Dimona. Reserna nº 2107. Árvore nº 701","BRA",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-64.33,-9.2325,"Dipteryx polyphylla",1042698251,"Ao longo da BR-364, 9 km E de Jaci Paraná, ramal 1 km ao sul, linha de transmissão Jirau-Porto Velho.","BRA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-68.16666,-3.41666,"Dipteryx polyphylla",1260579776,"Mun. Amataurá, Sao Domingos, Mata de terra firme. Locais úmidos próximo a riacho.","BRA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.58,-1.11,"Dipteryx polyphylla",768749289,"aproximadamente 930m en dirección 240° de la margen der. (bajando) del río Caquetá, en frente de la punta S de la isla Guadual","COL",NA,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-72.13,-0.56,"Dipteryx polyphylla",768735258,"Araracuara, comunidad indígena de Villazul, margen izq. río Caquetá, detrás de la maloca de José Moreno, PST","COL",NA,1989,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-72.22,-0.56,"Dipteryx polyphylla",768731287,"margen der. río Caquetá, frente a comunidad indígena de Villazul, terraza baja, parcela 5.","COL",NA,1989,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-70.99,-1.23,"Dipteryx polyphylla",768772002,"río Caquetá, qda. El Arroz","COL",NA,1976,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
-59.58,-2.53,"Dipteryx polyphylla",1095344612,"km 26 Reserva Florestal Ducke Igarapé do Icará","BRA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-72.48,2.13,"Dipteryx polyphylla",3923764165,"El Retorno","COL",NA,1984,"HUMAN_OBSERVATION",""
-71.62,-0.9,"Dipteryx polyphylla",3923808149,"Mirití-paraná. Campoamor","COL",NA,1984,"HUMAN_OBSERVATION",""
-69.82,-1.22,"Dipteryx polyphylla",3923809288,"La Pedrera","COL",NA,1984,"HUMAN_OBSERVATION",""
