"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
39.56,-9.75,"Drypetes natalensis",1096657388,"Tanzania. Lindi: Lindi Rural District. T8. Mchinga Division, Kilangala Village, ca. 3 km SW of Kilangala Roman Catholic Church.","TZA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
29.9,-6.2,"Drypetes natalensis",1260401570,"Mahale Mts., Kamiyalala (Tongwe) Lukandamila. Forest","TZA",NA,1972,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
37.8,-7.01666,"Drypetes natalensis",1260401604,"T6. Kimboza Forest Reserve, c. 50 - 52km from Morogoro on the road to Matombo SE of Morogoro. Forest","TZA",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.65,-3.83333,"Drypetes natalensis",4061576604,"Kaya Jibana. SW slope. Semi-deciduous Mixed forest w Afzelia, Julbernardia, Trichelia, Craibia, Hymenaea, Drypetes, Croton, Diospyros, Milicia","KEN",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
32.70801,-27.4162,"Drypetes natalensis",3784764752,"","ZAF",1000,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
32.4755,-28.2629,"Drypetes natalensis",2423066140,"","ZAF",200,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
33.64,-9.155,"Drypetes natalensis",1257527195,"Rungwe Forest Reserve.","TZA",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
33.646944,-9.176111,"Drypetes natalensis",1261054562,"Rungwe Forest Reserve. Syukula Village, Vegetation Plot 28.","TZA",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
32.389153,-27.018001,"Drypetes natalensis",2557813414,"","ZAF",977,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.5485,-28.1343,"Drypetes natalensis",3399491165,"","ZAF",250,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
32.406991,-28.383376,"Drypetes natalensis",3988548334,"","ZAF",122,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.770305,-27.266301,"Drypetes natalensis",1883470957,"","ZAF",200,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.410631,-28.018678,"Drypetes natalensis",3384883512,"","ZAF",1899,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
41.23333,-1.73333,"Drypetes natalensis",4062078195,"Boni. 9Km E Mangai.","KEN",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.466667,-4.866667,"Drypetes natalensis",3863876997,"Mazumbai Forest Reserve","TZA",NA,1953,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
38.655714,-5.121154,"Drypetes natalensis",3863878657,"Segoma Forest Reserve","TZA",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
39.085621,-5.06802,"Drypetes natalensis",3863878703,"Kwamngumi Forest Reserve","TZA",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
38.698775,-5.114819,"Drypetes natalensis",3863885297,"Longuza Forest","TZA",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
40.08333,-1.91666,"Drypetes natalensis",1260039885,"Tana River National Primate Reserve; Baomo South Forest. Riverine forest; fairly common.","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.75,-6.31666,"Drypetes natalensis",1260039901,"T6. Matipwili Village, Kisampa Sanctuary, Kudiinde Valley, evergreen thicket, wooded grassland, plot #1.","TZA",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.7,-4.93333,"Drypetes natalensis",1260401596,"Ngezi Forest Reserve, 1400ha lowland rain forest in N.W.Pemba. Odyendea, Antiaris, Erythrophleum to 40m tall above Costus, Aframomum and Olyra.","TZA",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.46666,-10.05,"Drypetes natalensis",1260401608,"T8. Litipo FR, Lake Lutamba, 40km west of Lindi, lower forest canopy near stream","TZA",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.51666,-4.31666,"Drypetes natalensis",4062117943,"Kaya Muhaka. .","KEN",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.06277,-6.95722,"Drypetes natalensis",4061732356,"T6. Kazimzumbwi Forest Reserve, disturbed by timber and pole cutting.","TZA",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
36.660833,-8.922778,"Drypetes natalensis",4061676186,"Sali Forest Reserve, Work Unit 2, Veg Plot No 10 on the South East Transect on Shimpenku hill in montane forest","TZA",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
37.65,-6.11666,"Drypetes natalensis",4061784739,"Mtibwa Forest Reserve","TZA",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.28333,-7.66666,"Drypetes natalensis",4060869449,"","TZA",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.88333,-3.13333,"Drypetes natalensis",1260420361,"Nr Garashi. .","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
35.285459,-18.290077,"Drypetes natalensis",2595694374,"Along road to Inhamitanga West of Chironde Camp, Coutada 12","MOZ",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
39.03333,-10.5,"Drypetes natalensis",1260435583,"Ndanda Mission. Riverine forest with Khaya nyasica, Terminalia sambesiaca, Milicia, Drypetes natalensis, Lettowianthus, Albizia.","TZA",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
32.68333,-25.73333,"Drypetes natalensis",1260435610,"Marracuene, foret sur dunes.","MOZ",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.53333,-4.38333,"Drypetes natalensis",1260420366,"Kaya Kinondo. .","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
36.52333,-7.75277,"Drypetes natalensis",1260401574,"T7. West kilombero FR, west of Ruipa River. Rain Forest","TZA",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.26666,-9.55,"Drypetes natalensis",4062078770,"Mto Nyangi hippo pools; pt 459, coastal forest patch around swamp and pools.","TZA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
40.16666,-2.21666,"Drypetes natalensis",4061066278,"Tana River District: 7 km. NE. of Garsen","KEN",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
38.6,-6.15,"Drypetes natalensis",4061424489,"","TZA",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
36.672222,-8.945278,"Drypetes natalensis",4061676028,"Sali Forest Reserve, Work Unit 1, Veg Plot No 3 on the East Transect in submontane forest","TZA",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.53333,-8.48333,"Drypetes natalensis",1260401606,"T8. Selous Game Reserve, c. 7km NNW of Kingupira. Riverine forest","TZA",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
