"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-96.5283,17.5892,"Elaphoglossum petiolatum",1949842867,"Loc. Dto. Ixtlán, a 1.5 km del Crucero San Pedro Yolox-San Martín Buenavista.","MEX",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-47.5167,-13.5744,"Elaphoglossum petiolatum",1931160255,"Chapada dos Veadeiros, ca. 60 km north of Veadeiros","BRA",1000,1969,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-78.95138,-4.05138,"Elaphoglossum petiolatum",1259908316,"Within 3 km of the town of Zamora.","ECU",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-82.82,9,"Elaphoglossum petiolatum",1258472118,"Z.P. Las Tablas. Cuenca Térraba-Sierpe. Fila a Cerro Burú.","CRI",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-79.08333,-3.98333,"Elaphoglossum petiolatum",1261071714,"Road Loja-Zamora, km 24-25.","ECU",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-90.0632,15.3835,"Elaphoglossum petiolatum",1317492760,"Sierra de Chama/Montana Yalijux: Finca Chelem-ha, Abstieg vom Grat ins Tal des Riachuelo Yalijux, ca. 15 km NE von Tucuru; primarer Nebelwald (Quercus, Myrtaceen und Ericaceen)","GTM",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
-62.965235,17.474951,"Elaphoglossum petiolatum",3783421489,"Sint Eustatius; the Quill; near the rim","BES",500,1953,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-103.83333,20.78333,"Elaphoglossum petiolatum",2807227910,"Vol Tequila, along rd to microwave station","MEX",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-97.175,19.66667,"Elaphoglossum petiolatum",2807467109,"13 Km (by air) NE of town of Perote, 3 Km N from Cruz Blanca (along Hwy Méx 140) on gravel rd to Las Minas, near stone bridge over Quebrada Churrero","MEX",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-103.962222,19.480833,"Elaphoglossum petiolatum",1893965064,"Al O de Cerro Grande, 4 km NNO de El Terrero, 37 km al NO de Colima","MEX",90,1991,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-104.241667,19.5875,"Elaphoglossum petiolatum",1893965065,"1-2.5 km al SO de Rincón de Manantlán","MEX",90,1982,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-82.733333,8.833333,"Elaphoglossum petiolatum",1258366052,"Distr. de Bugaba, along road Volcán-Santa Clara; Steep, rocky roadside.","PAN",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.08333,-1.83333,"Elaphoglossum petiolatum",1259553361,"carretera San Pablo de Atenas-Chillanes. En la loma de Peresan. Vegetación húmeda, en restos de bosque nublado.","ECU",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.21222,10.11777,"Elaphoglossum petiolatum",1259473453,"South of Volcán Poás on the road to San Pedro, grazed, secondary montane forest","CRI",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
