"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
132.5439,-13.9633,"Eleocharis acutangula",2827416977,"Marrawal Plateau, Nitmiluk National Park.","AUS",2000,2002,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-46.9904338,-24.3238744,"Eleocharis acutangula",1929767572,"Estaçao Ecológica Juréia-Itains, trilha para Cachoeira do Rio Verde.","BRA",NA,1999,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-88.840555,16.283333,"Eleocharis acutangula",1258578909,"Near junction of Southern Highway and Pine Hill.","BLZ",NA,1998,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
35.166667,-8.516667,"Eleocharis acutangula",2268819359,"Ngwazi marsh.","TZA",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-75.133333,6.25,"Eleocharis acutangula",4061718205,"road to San Rafael ca 4 km E of Guatapé-Santa Rita road (Finca Montepinar). Secondary forest and wetland ca 1 km N of road.","COL",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-85.616667,10.95,"Eleocharis acutangula",2268835849,"Laguna Cuajiniquil 14 km S of La Cruz, near Santa Rosa National Park. Temporary laguna along road to Cuajiniquil, ca. 0,5 km W of Ruta 1.","CRI",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-62.01666,-16.11666,"Eleocharis acutangula",4061298787,"Wetland: ca. 0.5 km NE of Concepción, on the road towards San Ignacio. The front half of the system is dominate by Pontederia cordata. The back half contains a large pond surrounded by a floating mat of Eleocharis acutangula.","BOL",NA,1996,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-81.181389,8.145278,"Eleocharis acutangula",4061391459,"La Mesa.","PAN",NA,1968,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-13.917388,11.903402,"Eleocharis acutangula",2836544866,"Guinea-Bissau - Dulombi-Boe NP 2","GNB",100,2017,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
129.696944,-15.479722,"Eleocharis acutangula",1632987262,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.41026,-14.39598,"Eleocharis acutangula",2445779810,"","AUS",20,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
