"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
47.595278,-15.466889,"Eragrostis boinensis",1989829222,"SITE 67 Mampikony white sand quarry, RN6 from Mampikony to Ambanja; near a village","MDG",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
47.558889,-15.553056,"Eragrostis boinensis",1989832022,"Bongolava, Majunga: Sofia/Boriziny. Bongalava, c. 15 km N of Boriziny (Port Berge), adjacent to RN6.","MDG",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
48.962722,-14.225583,"Eragrostis boinensis",1989829783,"Walking from Mangaindrano towards Maromokotro, campsite 1","MDG",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
46.415278,-15.578333,"Eragrostis boinensis",1989828232,"Antsianitia Station Forestière, Antsianitia Station Forestière","MDG",NA,2013,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
46.788608,-16.331687,"Eragrostis boinensis",2988696022,"","MDG",NA,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
47.78235,-14.795674,"Eragrostis boinensis",3031822191,"","MDG",10,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
44.493611,-18.056944,"Eragrostis boinensis",4031914122,"Beanka, partie sud.","MDG",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
45.05,-17.066667,"Eragrostis boinensis",1988052548,"Sur la plage de Marofototra (Besalampy).","MDG",5000,1964,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
46.95,-16.45,"Eragrostis boinensis",1988051526,"Ouest. Anjiajia (Dt Ambato Boeni).","MDG",5000,1952,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
45.4,-19.633333,"Eragrostis boinensis",1988051522,"Bord du Manambolo. Bekopaka.","MDG",5000,1963,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
46.316667,-15.716667,"Eragrostis boinensis",1988052748,"Aux environs de Majunga","MDG",NA,1974,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_NONE"
46.7875,-16.334345,"Eragrostis boinensis",2456496387,"","MDG",2,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
47.767937,-14.92356,"Eragrostis boinensis",2237503409,"","MDG",1,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
