"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-112.612404,36.516623,"Eriogonum darrovii",1846529738,"Kanab Creek Wilderness, Kaibab National Forest, along jeep trail on west side of Jump Up Point, 12S 355626 E, 4042461 N, NAD 83/84","USA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.64333,36.5575,"Eriogonum darrovii",2242397159,"Grand Canyon-Parashant Natl. Monument","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-113.50666,36.49777,"Eriogonum darrovii",2242396285,"BLM land; NW of Poverty Mt.","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-114.5575,38.774167,"Eriogonum darrovii",1987011503,"Along the dirt road to Atlanta at the northeast edge of the Fortification Range, 0.6 mile east of US Highway 93, this junction 0.6 mile north of Lake Valley Summit.","USA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-112.154647,37.048184,"Eriogonum darrovii",1949994943,"","USA",NA,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-113.734623,36.728173,"Eriogonum darrovii",2270466765,"Near Ide Spring","USA",400,1978,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-112.462785,36.653536,"Eriogonum darrovii",2270465563,"Ca 1/2 mi southwest of Slide Tank","USA",400,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-113.3516,36.2596,"Eriogonum darrovii",3091283498,"Arizona Strip, 7 mi E of Grassy Mt, S of Parashant canyon, on abandoned dirt road.","USA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.6199,36.2887,"Eriogonum darrovii",3091193597,"0.5 mi S Pigeon Tank.","USA",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.1151,36.9107,"Eriogonum darrovii",3091283533,"Buckskin Mountain","USA",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.1346,36.6497,"Eriogonum darrovii",3091193590,"Kaibab, ca. 0.5 mi SW of Slide Tank.","USA",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.32472,36.41194,"Eriogonum darrovii",3091193601,"Vic. Mount Trumbull.","USA",10,1978,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.371326,38.048345,"Eriogonum darrovii",4061123357,"Basin and Range National Monument. Golden Gate Range. Just North of Water Gap, ~0.2 miles by air due South of Nye County line.","USA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-113.364083,36.359933,"Eriogonum darrovii",4068917539,"[No locality information given on label.]","USA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-113.40015,36.697467,"Eriogonum darrovii",4068929026,"[No locality information given on label.]","USA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
