"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-99.092,26.48469,"Erythrostemon caudatus",2807433945,"Santa Margarita Ranch, ca. 3.5 air miles SSE of Salineno. Ca. 0.25 mile E of the Rio Grande River along Striped Bass Road.","USA",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.1607,26.9749,"Erythrostemon caudatus",2807300169,"Zapata, 1 mi. S on Hwy 83.","USA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.0267,26.569,"Erythrostemon caudatus",3336609321,"~6.3 miles ENE of US 83/Los Alvaros Rd on Los Alvaros, on open ROW.","USA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.1921,26.9589,"Erythrostemon caudatus",2807325718,"FM 496, 6 miles east of Zapata.","USA",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-99.31242,27.11598,"Erythrostemon caudatus",2807309761,"Rt 3169, about 9.5 mi from the turn at San Ignacio.","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.4106,27.2617,"Erythrostemon caudatus",2807201631,"From US83 at Dolores Rd, 0.4 miles east on Dolores Rd until it heads south, then 0.3 miles to end of Dolores Rd.","USA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-100.000845,28.645071,"Erythrostemon caudatus",2807402529,"12 miles NW Carrizo Springs.","USA",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-99.449768,27.42552,"Erythrostemon caudatus",2807326663,"Near San Ildefonso Creek on US 83 below Laredo.","USA",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.4235,27.1311,"Erythrostemon caudatus",2807327050,"US Hwy. 83, 20 miles northeast of Zapata.","USA",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.1577,26.8166,"Erythrostemon caudatus",2807379855,"US Hwy. 83, 10 miles south of Zapata.","USA",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.756726,28.422536,"Erythrostemon caudatus",1928689813,"± 11 miles n.-w. of Carrizo Springs","USA",NA,1987,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-98.902871,26.984114,"Erythrostemon caudatus",3747042088,"","USA",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-100,28.624,"Erythrostemon caudatus",4003258399,"12 road miles NW of Carrizo Springs on rt. 277 from the junction in Carrizo Springs with rt. 85.","USA",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-99.507542,27.346653,"Erythrostemon caudatus",1930253775,"11 miles south of Laredo, route #83","USA",NA,1959,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-98.913399,26.642316,"Erythrostemon caudatus",1928425060,"6 miles south of Petroleum on the road to Guerra and Garceno","USA",NA,1962,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-100.068893,28.082924,"Erythrostemon caudatus",3335250393,"","MEX",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
