"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
30.063928,-28.724433,"Eulophia petersii",3705753034,"","ZAF",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
52,15.83333,"Eulophia petersii",911788695,"Yemen: Gov. Al-Mahra. Jabal Fartak between Haswayn and Al Ghaida, SW-facing slopes of the mountain and plateau with the radio station. Alt.: 550-950 m. 26.11.1999, Leg.: P. Hein & N. Kilian PH 6873.","YEM",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
51.97055,15.8275,"Eulophia petersii",911788461,"Yemen: Gov. Al-Mahra. Northern Fartak Mts, dissected table-land W below J. Karmoum (with the disused radio tower). Bottom and rocky slopes of a narrow, steep wadi. Alt.: 600-650 m. 8.10.2001, Leg.: N. Kilian YP 1074.","YEM",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
31.418747,-29.208288,"Eulophia petersii",2518021947,"","ZAF",4,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.3958,-28.9999,"Eulophia petersii",1838061781,"","ZAF",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.965687,-25.442437,"Eulophia petersii",2251996342,"","ZAF",6,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.27465,-22.42167,"Eulophia petersii",3455622335,"","ZAF",4,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
31.00866,-17.58637,"Eulophia petersii",3892295686,"","ZWE",50,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.030215,-15.33136,"Eulophia petersii",3772706496,"","ZMB",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.034533,-28.2502,"Eulophia petersii",2576370501,"","ZAF",11,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.952479,-28.351399,"Eulophia petersii",2626434426,"","ZAF",1766,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.56052,-20.4123,"Eulophia petersii",3892453734,"","ZWE",20,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
31.05198,-27.519959,"Eulophia petersii",4006728246,"","ZAF",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
33.08534,-19.58561,"Eulophia petersii",3892458700,"","MOZ",20,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.437169,-20.48066,"Eulophia petersii",3892618703,"","ZWE",20,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
32.004786,-26.120724,"Eulophia petersii",2579220943,"","SWZ",61,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
38.98122,-5.508349,"Eulophia petersii",3961346608,"","TZA",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
53.986805,12.502987,"Eulophia petersii",4034833939,"","YEM",16,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.458463,-25.536387,"Eulophia petersii",2529369514,"","ZAF",1569,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
