"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
119.3,-34.38,"Eutaxia major",2827358413,"Bremer Bay. Bremer Road, near corner of Swamp Road.","AUS",NA,1981,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.915,-33.846389,"Eutaxia major",2854312960,"Fitzgerald River National Park. Moir Road, plot 63","AUS",3000,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.129167,-33.931111,"Eutaxia major",2853984746,"2 km N of Hopetoun","AUS",3000,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.733333,-33.633333,"Eutaxia major",2828426241,"Esperance district. North of Fisheries Road, ca 10km ESE to Howick Hill. (Howick Hill is ca 75 km ENE of Esperance)","AUS",1000,1968,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.336944,-34.209444,"Eutaxia major",2853784148,"Corner of Gairdner and Collets Road, Qualup turn off, Fitzgerald River National Park","AUS",3000,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.363333,-34.101667,"Eutaxia major",2854092999,"9 miles NW of Mount Bland","AUS",NA,1962,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.418333,-34.375,"Eutaxia major",2854318947,"Swamp Road, Bremer Bay","AUS",NA,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.983333,-33.866667,"Eutaxia major",2829303931,"Esperance Bay district. Neridup. Near Howick Hill, 5.30 km east of the wool sheds of Mt Howick Station, Location 259 (ca 100 km of Esperance).","AUS",1000,1968,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.501504,-33.88209,"Eutaxia major",2854262379,"Bell Track North, Fitzgerald River National Park","AUS",100,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.193056,-33.926944,"Eutaxia major",2854436768,"ca 40 m N of southern boundary track of Barrens Beach Estate near Hopetoun","AUS",100,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.939722,-33.829722,"Eutaxia major",2853702523,"Fitzgerald River National Park, 1-2 km N of Quaalup homestead","AUS",3000,1991,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.133333,-34.383333,"Eutaxia major",2853994092,"17.7 km E along road to Bremer Bay from junction with Gairdner South Road,","AUS",NA,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
