"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
47.21,-24.57,"Faucherea parvifolia",1096814036,"Madagascar, Province de Toliara: Forêt de Bemangidy.","MDG",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
48.33472,-18.82444,"Faucherea parvifolia",1260175737,"Moramanga, Andasibe, Menalamba, 11 km E d'Ampitambe, Ambatovy. Sol non cuirasse. Echantillons présérvés en alcool.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.616667,-13.25,"Faucherea parvifolia",1257985496,"Daraina, forêt de Binara.","MDG",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.31083,-18.85138,"Faucherea parvifolia",4061533045,"Fokontany Ampitambe, Ambatovy, commune rurale Ambohibary, district Moramanga. Forêt dense humide de moyenne altitude, sol: cuirasse. Récolté avec P. Antilahimena et F. Edmond.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.43333,-18.93333,"Faucherea parvifolia",1258316006,"Périnet, Analamazaotra. Canton : Périnet. District : Moramanga.","MDG",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.578889,-19.152778,"Faucherea parvifolia",1257639386,"Atsinanana, Vatomandry, Ambalabe, Ambinanindrano II, forêt de Vohibe, Ambatonimahazo.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.362778,-20.837472,"Faucherea parvifolia",2273098435,"Forêt d'Ankevohevo, 1 heure à pied au Sud du village de Sakaivo Nord","MDG",NA,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.845833,-16.483889,"Faucherea parvifolia",2273098489,"Disturbed forest adjacent to RN 5. All plants collected from within 5 m of road. 1 km south of Mandrisy","MDG",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.741667,-14.44,"Faucherea parvifolia",2517771403,"Marombihy, Mandena, Parc National de Marojejy, le long d'un affluent à la source de la rivière de Andranomifototra, 10.5 km NW du village Manantenina, Campement n°4.","MDG",NA,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
48.414444,-14.025278,"Faucherea parvifolia",4032112244,"Andranomalaza, source. 200 m a l'W du point cote 1584, releve TL5","MDG",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.785833,-16.320556,"Faucherea parvifolia",4031401452,"District de Mananara Nord, Commune de Tanambe, Fokontany de Sahasoa, village de Sahasoa, forêt d'Ambalabe, Parc National de Mananara Nord.","MDG",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.773333,-16.829722,"Faucherea parvifolia",4031986473,"District Soanierana Ivongo, commune d'Antanifotsy, Fokontany d'Antsiraka Pointe à Larrée, forêt d'Ankintsinambo NAP, récoltée avec Pascal, Fulgence et Prospère.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.6833,-13.1833,"Faucherea parvifolia",1257983411,"Daraina, forêt de Binara. 1,8 km à l'WSW du camp, au point 008.","MDG",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
