"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-7.286688,41.34612,"Festuca duriotagana",3010355119,"","PRT",5,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED"
-7.365245,41.299085,"Festuca duriotagana",3010385999,"","PRT",5,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED"
-7.391703,41.334759,"Festuca duriotagana",3010425438,"","PRT",5,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED"
-6.81,41.4,"Festuca duriotagana",895218442,"Bragança, Mogadouro, Castro Vicente, confluencia de los ríos Azibo y Sabor","PRT",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-7.16,41.75,"Festuca duriotagana",895218807,"Bragança, Vinhais, Rebordelo, río Rabaçal, alrededores del embalse","PRT",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-8.55,42.05,"Festuca duriotagana",895219245,"Viana do Castelo, Monçao, Lapela, Insua do Castro","PRT",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-6.4769,41.2969,"Festuca duriotagana",1936234359,"Bragança, Mogadouro, Bemposta, aguas debajo de la presa del embalse de Bemposta","PRT",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-7.25749,41.56166,"Festuca duriotagana",2817115448,"","PRT",5,2014,"HUMAN_OBSERVATION",""
-7.16221,41.40691,"Festuca duriotagana",2817117848,"","PRT",5,2012,"HUMAN_OBSERVATION",""
-7.28714,41.3304,"Festuca duriotagana",2817125233,"","PRT",5,2012,"HUMAN_OBSERVATION",""
-7.739145,39.624351,"Festuca duriotagana",3390494861,"Fratel","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.161601,38.806912,"Festuca duriotagana",3390500629,"Assunção, Ajuda, Salvador e Santo Ildefonso","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.227465,38.610434,"Festuca duriotagana",3390504930,"","ESP",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.037046,40.120088,"Festuca duriotagana",3390506329,"Penamacor","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.561538,41.491065,"Festuca duriotagana",3390508998,"Algoso, Campo de Víboras e Uva","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.634262,41.754822,"Festuca duriotagana",3390517734,"Rio Frio e Milhão","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.585685,41.579,"Festuca duriotagana",3390519955,"Carção","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.463325,42.075465,"Festuca duriotagana",3390520152,"Monção e Troviscoso","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.122099,38.443433,"Festuca duriotagana",3390526175,"Alcáçovas","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.931685,41.059745,"Festuca duriotagana",3390531947,"Ligares","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.703009,41.559188,"Festuca duriotagana",3390540755,"Izeda, Calvelhe e Paradinha Nova","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.947364,37.367075,"Festuca duriotagana",3390542327,"Ameixial","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.668913,38.067185,"Festuca duriotagana",3390547079,"Baleizão","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.369716,38.488136,"Festuca duriotagana",3390553252,"Santa Maria do Castelo e Santiago e Santa Susana","PRT",7071,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.54774,39.42548,"Festuca duriotagana",1248813476,"","PRT",NA,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-8.01111,39.52044,"Festuca duriotagana",1075219120,"","PRT",NA,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-7.89763,39.33921,"Festuca duriotagana",1075232493,"","PRT",NA,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK"
-7.89479,39.51939,"Festuca duriotagana",1075226747,"","PRT",NA,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK"
-7.21531,38.79013,"Festuca duriotagana",1075196998,"","PRT",NA,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-8.01991,38.88976,"Festuca duriotagana",1075227999,"","PRT",NA,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK"
-7.584877,39.92961,"Festuca duriotagana",3390556488,"Freixial e Juncal do Campo","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.480895,39.11799,"Festuca duriotagana",3390556712,"Vaiamonte","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.284165,39.707317,"Festuca duriotagana",3390556765,"Monforte da Beira","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.892274,39.318814,"Festuca duriotagana",3390557185,"Ponte de Sor, Tramaga e Vale de Açor","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.907382,40.971862,"Festuca duriotagana",3390558343,"Escalhão","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.209637,41.549587,"Festuca duriotagana",3390559722,"Villardiegua de la Ribera","ESP",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.054812,39.473049,"Festuca duriotagana",3390561797,"Ortiga","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.965835,39.856156,"Festuca duriotagana",3390564416,"Zebreira e Segura","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.281252,39.430054,"Festuca duriotagana",3390567498,"Santa Margarida da Coutada","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.761031,41.834532,"Festuca duriotagana",3390568893,"Dem","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.704606,41.19951,"Festuca duriotagana",3390569751,"Poiares e Canelas","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.767136,40.903952,"Festuca duriotagana",3390570865,"La Redonda","ESP",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.513518,41.315154,"Festuca duriotagana",3390572709,"Bemposta","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-8.227626,42.119162,"Festuca duriotagana",3390575569,"Chaviães e Paços","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.599053,37.803061,"Festuca duriotagana",3390581343,"Serpa (Salvador e Santa Maria)","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.803601,39.427731,"Festuca duriotagana",3390582163,"Comenda","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-6.815325,41.079812,"Festuca duriotagana",3390583250,"Freixo de Espada à Cinta e Mazouco","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
-7.625496,39.645297,"Festuca duriotagana",3390583793,"Vila Velha de Ródão","PRT",7070,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_SRS_INVALID"
