"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
171.744848,-43.202517,"Festuca novae-zelandiae",2574191019,"","NZL",532,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
171.740563,-43.451353,"Festuca novae-zelandiae",2963788643,"","NZL",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
168.96698,-44.646368,"Festuca novae-zelandiae",2802773303,"","NZL",NA,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
170.084872,-45.575167,"Festuca novae-zelandiae",2864696762,"","NZL",3,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
169.353561,-44.804372,"Festuca novae-zelandiae",2423261874,"","NZL",332,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
171.261011,-43.522554,"Festuca novae-zelandiae",3760202750,"","NZL",122,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
170.172033,-44.177515,"Festuca novae-zelandiae",3759320288,"","NZL",48,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
170.459537,-43.989414,"Festuca novae-zelandiae",3456694435,"","NZL",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
169.534275,-44.808807,"Festuca novae-zelandiae",2013761727,"","NZL",15,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
170.107561,-45.44595,"Festuca novae-zelandiae",1848807704,"","NZL",31,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
169.96,-43.9736,"Festuca novae-zelandiae",1312616524,"Tak dobson","NZL",50,1985,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
169.245,-45.2531,"Festuca novae-zelandiae",1312845419,"Earnscleugh","NZL",5,2008,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
172.1898,-42.9498,"Festuca novae-zelandiae",1313325868,"Cattle creek","NZL",50,1978,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
170.4134,-43.8168,"Festuca novae-zelandiae",1313341399,"Cass","NZL",50,1974,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
169.8427,-44.0945,"Festuca novae-zelandiae",1313349636,"Base","NZL",50,1973,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
173.0997,-41.9706,"Festuca novae-zelandiae",1313359241,"Rau leatham","NZL",5000,1971,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.5141,-43.1404,"Festuca novae-zelandiae",1313410843,"Av6ca Face","NZL",5,2011,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.5223,-43.1702,"Festuca novae-zelandiae",1313411012,"Fitzwilliam South","NZL",5,2011,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
172.98,-42.8221,"Festuca novae-zelandiae",1313415405,"Kaiwara - Cat Hill, Lowry Peaks Ra., Ridge along from 63 038, Nth. Canty","NZL",50,1962,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.5607,-43.5642,"Festuca novae-zelandiae",1313420928,"Rose Hill over rise from 63 185, Rakaia","NZL",50,1963,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.1447,-43.6715,"Festuca novae-zelandiae",1313423367,"Moorhouse Ra, slopes to Mt Possession, near 64 339, Ashburton","NZL",50,1964,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.1484,-43.6196,"Festuca novae-zelandiae",1313423475,"Moorhouse Ra, ridge from Mt Possession towards ridge of earlier sites, Ashburton","NZL",50,1964,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
170.9909,-43.6141,"Festuca novae-zelandiae",1313426895,"Small dry slope above 452, Slopes to Y, Harper Range, Ashburton","NZL",50,1965,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
170.6164,-44.2019,"Festuca novae-zelandiae",1313428053,"Dalgety Range above Mackenzie Pass, Mackenzie","NZL",50,1961,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
169.9654,-44.3253,"Festuca novae-zelandiae",1313435399,"Ohau Downs Station, Mackenzie Basin","NZL",5,2012,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
170.0016,-44.5334,"Festuca novae-zelandiae",1312351567,"OMARAMA STN TR MT ST CUTHBERT (GRAVEL PIT STM)","NZL",5,2005,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.2343,-43.7243,"Festuca novae-zelandiae",1312383615,"Tenehaum st north facing spur","NZL",50,1996,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.1239,-43.176,"Festuca novae-zelandiae",1312440109,"Hias black","NZL",50,1986,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
170.0074,-44.0376,"Festuca novae-zelandiae",1312449257,"Tak dobson","NZL",50,1986,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
170.0983,-43.8108,"Festuca novae-zelandiae",1312617209,"Tak tasman","NZL",50,1985,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
176.0276,-39.2374,"Festuca novae-zelandiae",1312159406,"M rangitikei","NZL",50,1981,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
171.7349,-43.1475,"Festuca novae-zelandiae",1312832019,"Waimakariri River, Cave Stream","NZL",5,2007,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
169.8103,-44.283,"Festuca novae-zelandiae",3008035398,"Freehold Creek, Lake Ohau, Mackenzie Basini","NZL",5,2008,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
172.0932,-43.045,"Festuca novae-zelandiae",1313324760,"Nigger bush","NZL",50,1978,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
