"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
45.28,-22.42,"Ficus menabeensis",1257564810,"Isalo. Parois des rochers gréseux.","MDG",NA,1956,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
45.322389,-21.215694,"Ficus menabeensis",4061100179,"Makay Massif. Mountain NNW. of Basecamp at confluence of Menampandaha River Open rocky hillside facing SW","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.363056,-22.016389,"Ficus menabeensis",4061082827,"Inselberg: Bonnet du Pape-Ifandana, Voatavo, Zazafotsy, Ihosy, Ihorombe.","MDG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
47.063333,-24.802222,"Ficus menabeensis",4061152434,"Fort-Dauphin, Sainte Luce. Récolté avec Mara Mahatsiaro Emilson et Monja Foara (Tsy Afaka).","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
45.36,-22.6,"Ficus menabeensis",2618427284,"Madagascar, Ihorombe Region, Ihosy District, Isalo National Park, circuit Malaso.","MDG",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
46.739388,-21.93843,"Ficus menabeensis",3468927963,"","MDG",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
43.76666,-23.51666,"Ficus menabeensis",1258300668,"Environs de Tulear, sur calcaires, piste de Sarondrano","MDG",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.333333,-22.225,"Ficus menabeensis",4031443053,"Vicinity of Zazafotzy on Route #7 between Ambalavao and Ihotsy, open forest and prairie.","MDG",NA,1975,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
47.12,-24.858056,"Ficus menabeensis",4031718163,"Fort-Dauphin, Mahatalaky, Belavenoky. Forêt S3. Echantillons préservés en alcool.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.588785,-20.577389,"Ficus menabeensis",2460054255,"","MDG",NA,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
46.421185,-15.574033,"Ficus menabeensis",1993711563,"","MDG",1,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
43.838485,-23.432156,"Ficus menabeensis",2447828953,"","MDG",9,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
46.785731,-22.086289,"Ficus menabeensis",3039410801,"","MDG",9577,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
46.345448,-20.606875,"Ficus menabeensis",3325588565,"","MDG",9,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
46.834007,-20.61519,"Ficus menabeensis",2294422223,"","MDG",1,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
45.333288,-22.581095,"Ficus menabeensis",1890033016,"","MDG",10,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
48.42,-18.79,"Ficus menabeensis",912074885,"Province Toamasina. Region Alaotra-Mangoro. District Moramanga. Mantadia National Park, road through the park near PK 15, close to graphite mine.","MDG",0.2,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.958333,-15.658333,"Ficus menabeensis",2517672434,"Toamasina. Nandrahanana, Masoala Peninsula. Along Cape Masoala trail, N of Ambanizana.","MDG",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
45.352778,-22.288889,"Ficus menabeensis",4031906158,"Isalo National Park. East side. Eastern edge of park at 34 km from Ranohira on Route Nationale 7, W of road to Beroroha, near Kelivozana.","MDG",NA,1992,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
