"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
48.2425,-19.103889,"Fimbristylis bivalvis",1257639799,"Région: Alaotra-Mangoro, District: Moramanga, Commune: Ambohibary, Fokontany:Ampahitra. PK 21.","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.216111,-24.664722,"Fimbristylis bivalvis",1257784452,"Iabakoho, fkt Ambanihazo, forêt et marécage près du village d'Ambanihazo.","MDG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.193889,-24.677222,"Fimbristylis bivalvis",4061096884,"Fort-Dauphin, Anosy, Com. Iabakoho, Fkt Ambanihazo, Marécage d'Amanakopakopaka.","MDG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.083333,-18.8,"Fimbristylis bivalvis",1212473648,"F","MDG",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
32.624,-27.583,"Fimbristylis bivalvis",1990437276,"","ZAF",110,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
49.663472,-12.895611,"Fimbristylis bivalvis",4031787759,"Loky-Manambato AP-Daraina. Massif d'Antsaharengy.","MDG",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.116667,-6.9,"Fimbristylis bivalvis",2517508355,"Pugu hills, stream crossing Pugu-Minaki road, 30m above road.","TZA",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
49.48333,-17.71666,"Fimbristylis bivalvis",1260008682,"R.N. 5, ca. 5.0 km S of Foulpointe. In swamp.","MDG",NA,1984,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_NON_NUMERIC;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
47.158333,-24.767778,"Fimbristylis bivalvis",1257806970,"Fort-Dauphin, Commune: Mahatalaky, Fokontany: Sainte-Luce, village le plus proche: Ambandrika. PMR 5 - Tsikebo Amilesa.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
32.0241,-28.0869,"Fimbristylis bivalvis",3466188816,"","ZAF",100,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
38.6,-6.15,"Fimbristylis bivalvis",4061569629,"","TZA",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
23.273611,-19.5436,"Fimbristylis bivalvis",3322616315,"Obsevation island","BWA",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;PRESUMED_NEGATED_LATITUDE;CONTINENT_DERIVED_FROM_COORDINATES"
23.390556,-19.5433,"Fimbristylis bivalvis",3322616350,"Obsevation island","BWA",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;PRESUMED_NEGATED_LATITUDE;CONTINENT_DERIVED_FROM_COORDINATES"
