"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
24.26111,41.38333,"Genista carinalis",1844880632,"Greece: Sidironero. Krautige Stellen in Laubwald. Alt.: 870 m.2017-07-01, Leg.: Willing,R. & Willing,E. 280428.","GRC",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
26.8,39.73,"Genista carinalis",29644261,"Evciler, Mt. Ido, Gavur geldi","TUR",100,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
21.64,40.19,"Genista carinalis",895205991,"Palaiokastro, Mts. Vourinos","GRC",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
21.625,40.15111,"Genista carinalis",1212111444,"Greece: Kozáni, S Exarchos. Laubgebüsch, Krautfluren, Serpentin-Felsfluren. Alt.: 705 m.2012-06-02, Leg.: Willing,R. & Willing,E. 224891.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.49667,40.42361,"Genista carinalis",1212111440,"Greece: Kozáni, S Sisani. Eichenwald. Alt.: 880 m.2012-06-04, Leg.: Willing,R. & Willing,E. 225752.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.58917,40.48417,"Genista carinalis",1212111422,"Greece: Kozáni, O Anarrachi. Krautige Kalk-Mergel-Hänge, Eichengebüsch. Alt.: 780 m.2012-06-07, Leg.: Willing,R. & Willing,E. 226700.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.65139,39.73111,"Genista carinalis",1212111414,"Greece: Tríkala, NO Kalambaka. Laubgebüsch, Krautfluren. Alt.: 655 m.2012-06-13, Leg.: Willing,R. & Willing,E. 228661.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.48694,40.60556,"Genista carinalis",1212111421,"Greece: Flórina, SW Sklithro. Eichenwald. Alt.: 775 m.2012-06-12, Leg.: Willing,R. & Willing,E. 228410.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.235,40.3,"Genista carinalis",1212111406,"Greece: Kozáni, SO Dichimarro. Eichenwald, alter Acker. Alt.: 750 m.2012-06-03, Leg.: Willing,R. & Willing,E. 225408.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.86944,39.705,"Genista carinalis",1212111491,"Greece: Tríkala, O Ellinokastro. Platanen unter Felswand, Glimmerschiefer. Alt.: 440 m.2012-06-16, Leg.: Willing,R. & Willing,E. 229858.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.51194,39.97944,"Genista carinalis",1212111439,"Greece: Grevená, SO Ag. Theodori. Eichenwald. Alt.: 835 m.2012-06-17, Leg.: Willing,R. & Willing,E. 230082.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
24.07306,41.38611,"Genista carinalis",3072256340,"Greece: Drama, Potami. Sandige Straßenböschung, Krautfluren, Laubwald. Alt.: 404 m.2015-05-28, Leg.: Willing,R. & Willing,E. 265124.","GRC",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
24.49917,41.31056,"Genista carinalis",3072256341,"Greece: Drama, NW Paranesti. Eichenwald, Straßengraben, Krautfluren. Alt.: 250 m.2015-05-23, Leg.: Willing,R. & Willing,E. 263523.","GRC",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
24.54917,41.36806,"Genista carinalis",3072256343,"Greece: Drama, SO Prasinada. Felsiger Hang, Laubgebüsch. Alt.: 720 m.2015-05-22, Leg.: Willing,R. & Willing,E. 263444.","GRC",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
24.46972,41.35028,"Genista carinalis",3072256347,"Greece: Drama, NW Paranesti. Felswand, Krautfluren, Pappeln. Alt.: 223 m.2015-05-23, Leg.: Willing,R. & Willing,E. 263631.","GRC",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
24.54444,41.26333,"Genista carinalis",3072256353,"Greece: Drama, O Paranesti. Felswand, Laubgebüsch, nasse Rinne. Alt.: 87 m.2015-05-24, Leg.: Willing,R. & Willing,E. 263815.","GRC",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
