"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
21.92167,40.59306,"Genista depressa",2244177173,"Greece: Imathía, Naoussis, Vermion, 1,0-1,8 km N Ano Seli. Sumpfwiesen. Alt.: 1600 m.1990-06-07, Leg.: Willing,R. & Willing,E. 9596.","GRC",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
22.14028,40.23972,"Genista depressa",1839017098,"Greece: Kozáni, Kozanis, Pieria, 1,3 km S Katafigio. Kiefernwald, Granit. Alt.: 1320 m.1990-06-04, Leg.: Willing,R. & Willing,E. 9309 a.","GRC",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
21.88028,41.02583,"Genista depressa",2244177417,"Greece: Pélla, Almopias, Voras, Kali Pediada. Sumpfebene, trockne Bergwiesen. Alt.: 1640 m.1990-06-20, Leg.: Willing,R. & Willing,E. 10909b.","GRC",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
33.723425,44.664606,"Genista depressa",1947453336,"","UKR",NA,2017,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
34.254942,44.526068,"Genista depressa",1697733411,"","UKR",2000,1951,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COUNTRY_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
35.364795,45.021797,"Genista depressa",2597709664,"","UKR",244,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.32056,39.85028,"Genista depressa",1212111392,"Greece: Grevená, W Kallithea. Hanganriss in Kiefernwald. Alt.: 1050 m.2012-05-16, Leg.: Willing,R. & Willing,E. 219389.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.35861,39.8475,"Genista depressa",1212111458,"Greece: Grevená, NO Kallithea. Ackerrand, Straßenrand, Krautfluren. Alt.: 980 m.2012-05-16, Leg.: Willing,R. & Willing,E. 219477.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
21.38556,40.10167,"Genista depressa",1212110052,"Greece: Grevená, NW Grevena. Laubgebüsch, fast bewuchslose Sandhänge. Alt.: 595 m.2012-05-19, Leg.: Willing,R. & Willing,E. 231262.","GRC",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
20.78778,40.42556,"Genista depressa",2244178166,"Greece: Kastoriá, Kastorias, SW Quelle des Baroumas. Bergwiesen, Sumpfwiesen, Quellhorizonte. Alt.: 1730 m.1990-06-24, Leg.: Willing,R. & Willing,E. 11254 b.","GRC",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
