"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
115.533333,-30.333333,"Gompholobium muticum",2828893048,"10 km N of Badgingarra.","AUS",1000,1965,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.256667,-29.833889,"Gompholobium muticum",2828457145,"1.8 km S of Eneabba.","AUS",50,1998,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.175278,-28.769722,"Gompholobium muticum",2853840962,"31.7 miles E of Geraldton airport on road to Mullewa.","AUS",3000,1966,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.455278,-29.500833,"Gompholobium muticum",2854384535,"200 m on Hydraulic Road, E of intersection with Bunneys Road","AUS",3000,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.094722,-29.578056,"Gompholobium muticum",2853799239,"Sundalara road reserve, 8.2 km S of Topkins road, W of Arrowsmith River.","AUS",3000,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.508333,-30.110556,"Gompholobium muticum",2854147256,"14.95 km from Brand Highway on Tootbardie Road (W boundary of Alexander Morrison National Park)","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.875833,-30.608056,"Gompholobium muticum",2828903250,"13 km W of Moora towards Dandaragan.","AUS",1000,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116,-30.633333,"Gompholobium muticum",2829998834,"Moora, rifle club area, W of town.","AUS",1000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.563056,-29.8,"Gompholobium muticum",2853923859,"Edge of road S side, Tathra National Park, 8.3 km W along Carnamah-Eneabba Road from junction with Turkey Flat Road","AUS",3000,1991,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.09,-31.148333,"Gompholobium muticum",2854192706,"66 mile post on Great Northern Highway (ca. 16 miles N of Bindoon).","AUS",3000,1968,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.590278,-30.376389,"Gompholobium muticum",2854247658,"9 km E of Badgingarra.","AUS",3000,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.3,-29.383333,"Gompholobium muticum",2828467912,"Ca 30 km SSW of Mingenew and NE of Eneabba.","AUS",1000,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
