"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
19.42,-31.83,"Gorteria alienata",2618622620,"Flora of the Republic of South Africa. Western Cape Province. Calvinia District. On road from Botterskloof Pas road to Ceres. On ESE. facing slope just NE. of Soutpan farm.","ZAF",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.063222,-30.443194,"Gorteria alienata",2618371067,"Flora of South Africa. Northern Cape, Garies, below Studers Pass.","ZAF",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LATITUDE;INSTITUTION_COLLECTION_MISMATCH"
20.3069,-32.4072,"Gorteria alienata",1321449939,"Northern Cape, 6 km from Onberg Pass, road to Tankwakaroo National Park","ZAF",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
17.43,-30.07,"Gorteria alienata",2618376002,"Flora of South Africa. Northern Cape Province. Namaqualand Div., Namaqualand National Park, road between Springbok and Reithuas.","ZAF",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
17.6,-29.93,"Gorteria alienata",2618375010,"Flora of South Africa. Northern Cape Province. Namaqualand Div.","ZAF",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.63,-31.68,"Gorteria alienata",1096743754,"Flora of South Africa. Grid. Ref. Syst. 3118 DA (Vanrhynsdorp). C. P. Van Rhynsdorp Div., 2 km W Aites.","ZAF",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
20.312094,-32.866078,"Gorteria alienata",3013891548,"","ZAF",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.255,-31.3689,"Gorteria alienata",1320926835,"Northern Cape, between Nieuwoudtville and Calvinia, on road to Groothoek and Naresie","ZAF",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
19.3847,-32.6203,"Gorteria alienata",1321331726,"Western Cape; between Ceres and Clanwilliam, Blinkberg Pass, ± 1 km from Mount Cedar to Clanwilliam","ZAF",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
17.7,-29.45,"Gorteria alienata",2618370086,"Flora of South Africa. Northern Cape, Namaqualand, Bulletrap (N of Springbok), ca. 5 km on road to Nigramoep.","ZAF",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
17.45,-30.52,"Gorteria alienata",1096743720,"Flora of South Africa. Cape Province. Namakwaland Division: 11 km from Garies along road to Springbok.","ZAF",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.28,-29.35,"Gorteria alienata",2618541049,"Flora of South Africa. Northern Cape, Namaqualand (northern Bushmanland), Naip se berg (between Springbok and Aggeneys), mountain.","ZAF",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
17.95,-29.63,"Gorteria alienata",1096743757,"Flora of South Africa. Cape Province. Namakwaland Division: near Carolusberg c. 7 km ENE of Springbok.","ZAF",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
20.556111,-32.938028,"Gorteria alienata",2988602797,"","ZAF",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.981338,-33.380113,"Gorteria alienata",4011675310,"","ZAF",49,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.683,-33.477,"Gorteria alienata",1986496486,"","ZAF",110,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.361436,-32.886306,"Gorteria alienata",3014065592,"","ZAF",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.08251,-32.130772,"Gorteria alienata",3759907352,"","ZAF",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.147133,-31.365185,"Gorteria alienata",3499364586,"","ZAF",200,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
17.0529,-28.4161,"Gorteria alienata",1986496477,"","ZAF",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.195258,-33.379804,"Gorteria alienata",4011700311,"","ZAF",33,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
17.650029,-30.09324,"Gorteria alienata",2864818347,"","ZAF",200,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.027835,-33.233387,"Gorteria alienata",1850982383,"","ZAF",10,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.352292,-32.968074,"Gorteria alienata",3018028498,"","ZAF",NA,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.661958,-33.44355,"Gorteria alienata",1986496379,"","ZAF",1,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
