"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
38.72,-4.83,"Grewia bicolor",1096749523,"Tanzania. Tanga: Muheza District. Bombo Village, East Usambara Mountains, Bombo I Forest Reserve, vegetation plot 10, line 2 of East Usambara Biodiversity survey.","TZ",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
38.47,-5.12,"Grewia bicolor",1096679705,"Tanzania. Tanga: Korogwe District. T3. On Lukaka Hill between Kwesamangube and Magundi Villages 4 km N of Korogwe town.","TZ",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
30.59,-5.43,"Grewia bicolor",2618579670,"Tanzania. Rukwa: Mpanda District. T4. Tongwe Forest, Issa River, few meters SE of camp.","TZ",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
30.89694,-6.94138,"Grewia bicolor",4061001542,"(T4). Katavi-Rukwa protected areas. Central Katavi ridges near Kanyamkaa.","TZ",NA,2002,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
30.56203,-5.50391,"Grewia bicolor",4061178389,"Tongwe East Forest Reserve.","TZ",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
37.695122,-3.315333,"Grewia bicolor",922007464,"Lake Chala und Umgebung","TZ",250,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
52.77,16.55,"Grewia bicolor",3776349420,"Yemen, gov. Al-Mahra, Hawf Mts, environment of the locality called Shah'rut.","YE",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
36.21,-3.41,"Grewia bicolor",1096699455,"Tanzania. Arusha: Monduli District. Along Dodoma road.","TZ",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
22.46,-17.98,"Grewia bicolor",1318798067,"Caprivi Strip, between Omega and Omega 3.","NAM",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
26.166708,-20.504873,"Grewia bicolor",4046497548,"","BW",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.8127,-24.4065,"Grewia bicolor",1838069227,"","ZA",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
39.052222,-7.872778,"Grewia bicolor",4031660006,"Ngumburuni Forest, coastal forest with Pteleopsis myrtifolia, Albizia petersiana and Hymenocardia ulmoides. Aspect SW.","TZ",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.4136,-6.278117,"Grewia bicolor",2268921535,"Jozani National Park.","TZ",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.33333,-2.6,"Grewia bicolor",1259061155,"K4, Tsavo East National Park, Athi R, Tsavo Safari Camp and environs, including road to look out spot on Yatta Plateau.","KE",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
27.673807,-25.761273,"Grewia bicolor",3456318759,"","ZA",23,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.502905,-19.933375,"Grewia bicolor",3773412474,"","BW",3,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.795117,-22.391063,"Grewia bicolor",2641406344,"","ZA",6,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.950599,-24.375795,"Grewia bicolor",3947274636,"","ZA",16,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.469494,-24.985147,"Grewia bicolor",4039517338,"","ZA",139,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.364405,-25.61678,"Grewia bicolor",2862331528,"","ZA",22,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
31.723435,-25.387621,"Grewia bicolor",3355657565,"","ZA",1479,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
16.33558,-24.47926,"Grewia bicolor",1838369435,"","NAM",1,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.353343,-23.826547,"Grewia bicolor",3925173400,"","ZA",27,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.914397,-24.303837,"Grewia bicolor",2366122685,"","ZA",6,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
15.631091,-21.958205,"Grewia bicolor",1932301718,"","NAM",10,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.297388,-22.41923,"Grewia bicolor",3044944945,"","ZA",37,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.003984,-24.606995,"Grewia bicolor",2574116276,"","BW",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
15.212814,-21.826206,"Grewia bicolor",4028886352,"","NAM",NA,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-13.14087,16.423607,"Grewia bicolor",1019296244,"Hôdio Révo Oudio,","MR",NA,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-11.940278,15.537222,"Grewia bicolor",1019295830,"Falaise de l'Assaba","MR",NA,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-9.365278,15.817222,"Grewia bicolor",1019295731,"Entre Kobenni et Aïoun","MR",NA,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
-12.668956,16.156826,"Grewia bicolor",1019296908,"Foum Gleita","MR",NA,1992,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.896167,-21.25527,"Grewia bicolor",3961467539,"","BW",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
25.305697,-20.190914,"Grewia bicolor",3097037452,"","BW",30,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
2.166667,9.15,"Grewia bicolor",1948801853,"","BJ",NA,1997,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
2.783333,12.383333,"Grewia bicolor",1948807379,"","BJ",NA,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
2.633333,11.9,"Grewia bicolor",1948808552,"","BJ",NA,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
2.6,12.05,"Grewia bicolor",1948809112,"","BJ",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
2.416667,7.766667,"Grewia bicolor",1948813248,"","BJ",NA,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-0.75,14.416667,"Grewia bicolor",1948815722,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
0.183333,13.766667,"Grewia bicolor",1948817148,"","BF",NA,1976,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-0.033333,12.55,"Grewia bicolor",1948828304,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
0.033333,13.733333,"Grewia bicolor",1948830183,"","BF",NA,1976,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-0.45,14.233333,"Grewia bicolor",1948834347,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-1.383333,13.95,"Grewia bicolor",1948834446,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-1.883333,13.883333,"Grewia bicolor",1948834888,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-1.25,14.2,"Grewia bicolor",1948835985,"","BF",NA,1972,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-1.316667,13.816667,"Grewia bicolor",1948837410,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-1.583333,14.166667,"Grewia bicolor",1948837442,"","BF",NA,1975,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-0.7,14.083333,"Grewia bicolor",1948839629,"","BF",NA,1974,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-0.783333,14.2,"Grewia bicolor",1948839802,"","BF",NA,1974,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
0.133333,12.433333,"Grewia bicolor",1948840328,"","BF",NA,1974,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-4.8,11.6,"Grewia bicolor",1948871782,"","BF",NA,1993,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
15.05,8.116667,"Grewia bicolor",1948879266,"","CM",NA,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-7.433333,12.783333,"Grewia bicolor",1948954889,"","ML",NA,2004,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-9.283333,15.033333,"Grewia bicolor",1948959112,"","ML",NA,1981,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-9.433333,15.083333,"Grewia bicolor",1948960870,"","ML",NA,1979,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
