"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
22.723837,-33.985466,"Gymnosporia nemorosa",3333463502,"","ZAF",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.552409,-33.988568,"Gymnosporia nemorosa",3113534417,"","ZAF",244,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.072075,-34.063976,"Gymnosporia nemorosa",3090710023,"","ZAF",70,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.004309,-28.687636,"Gymnosporia nemorosa",2397549015,"","ZAF",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.946792,-32.99341,"Gymnosporia nemorosa",2238851363,"","ZAF",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.461474,-33.942986,"Gymnosporia nemorosa",3113357602,"","ZAF",115,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.363305,-34.070236,"Gymnosporia nemorosa",3963244654,"","ZAF",58,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.364962,-25.616122,"Gymnosporia nemorosa",2860109249,"","ZAF",17,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.110827,-29.68495,"Gymnosporia nemorosa",4015101305,"","ZAF",8,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.33158,-25.586553,"Gymnosporia nemorosa",2813868942,"","ZAF",3052,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.503666,-33.32863,"Gymnosporia nemorosa",1880455829,"","ZAF",6,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.64343,-34.003293,"Gymnosporia nemorosa",3113557879,"","ZAF",44,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
24.389648,-34.105568,"Gymnosporia nemorosa",3058695939,"","ZAF",43,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.090834,-33.966946,"Gymnosporia nemorosa",2429342105,"","ZAF",50,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.76408,-28.961788,"Gymnosporia nemorosa",1990458753,"","ZAF",100,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.88262,-33.97964,"Gymnosporia nemorosa",1948783965,"","ZAF",50,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.117588,-33.875668,"Gymnosporia nemorosa",3109299911,"","ZAF",341,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.880035,-34.018937,"Gymnosporia nemorosa",3014003778,"","ZAF",1,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.545708,-33.986838,"Gymnosporia nemorosa",1986611336,"","ZAF",24,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.32627,-34.09761,"Gymnosporia nemorosa",1839209613,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
32.3614,-28.3287,"Gymnosporia nemorosa",1880500794,"","ZAF",100,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.492375,-34.017848,"Gymnosporia nemorosa",4029031311,"","ZAF",9,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.231283,-34.37479,"Gymnosporia nemorosa",2574202415,"","ZAF",20,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.27022,-30.706795,"Gymnosporia nemorosa",2868103671,"","ZAF",8,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.493098,-33.344441,"Gymnosporia nemorosa",2460088711,"","ZAF",59,2012,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.15,-26.53,"Gymnosporia nemorosa",2284150786,"2 km W of Bunya.","SWZ",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
23.054347,-33.945354,"Gymnosporia nemorosa",1880456435,"","ZAF",1,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.0957,-25.781062,"Gymnosporia nemorosa",2802534153,"","ZAF",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.025514,-26.610545,"Gymnosporia nemorosa",2574279827,"","SWZ",2443,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.96708,-34.082744,"Gymnosporia nemorosa",3773304248,"","ZAF",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
