"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
27.833333,-29.416667,"Harpochloa falx",2806590320,"God help me-Pass (Molimo-Nthuse), between Bushmen's Pass and Blue mountain-Pass.","LSO",NA,1983,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-123.233333,49.25,"Harpochloa falx",1988112108,"Greater Vancouver Regional District, Vancouver, University of British Columbia Botanical Garden, Alpine Garden","CAN",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
29.266945,-28.960822,"Harpochloa falx",1946332130,"","ZAF",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.136765,-26.631848,"Harpochloa falx",4067577608,"","ZAF",11,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.067539,-29.872166,"Harpochloa falx",1837766313,"","LSO",10,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.239884,-28.692846,"Harpochloa falx",1880482313,"","ZAF",138,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.087153,-30.806025,"Harpochloa falx",4046506764,"","ZAF",9,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.358932,-25.886458,"Harpochloa falx",2465222387,"","ZAF",61,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.891961,-28.728907,"Harpochloa falx",3963700669,"","ZAF",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.274096,-29.389932,"Harpochloa falx",3923408195,"","ZAF",7,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.927429,-30.10353,"Harpochloa falx",3966590616,"","ZAF",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.543,-25.314,"Harpochloa falx",1838056387,"","ZAF",110,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.95058,-33.63825,"Harpochloa falx",3873779247,"","ZAF",5,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.646242,-26.171497,"Harpochloa falx",2574085290,"","ZAF",6,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.16279,-30.975953,"Harpochloa falx",3044619900,"","ZAF",3,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
