"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-119.610992,34.45499,"Hedera canariensis",3962648720,"","USA",NA,2021,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID"
-16.283719,28.532311,"Hedera canariensis",2839650957,"Spain - Tenerife - Las Mercedes","ESP",10,2015,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-17.814267,28.780242,"Hedera canariensis",4056191350,"Spain - La Palma - El Canal y Los Tiles","ESP",25,2006,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;CONTINENT_DERIVED_FROM_COORDINATES"
-16.823889,28.315737,"Hedera canariensis",2840273550,"Spain - Tenerife - Buenavista del Norte","ESP",25,2017,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-18.111033,27.744616,"Hedera canariensis",3723297816,"Spain - El Hierro / Ferro - Mencáfete","ESP",32,2021,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-16.661184,28.06969,"Hedera canariensis",3773157460,"","ESP",37,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.256638,47.802883,"Hedera canariensis",3384107650,"","USA",65,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-0.01,38.63,"Hedera canariensis",1501990646,"","ESP",707,2011,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
-17.852482,28.654102,"Hedera canariensis",2247796722,"Centro de Visitantes de La Caldera de Taburiente, La Palma","ESP",250,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-27.2,38.7,"Hedera canariensis",137518740,"Isla Terceira: Furnas do Enxofre.","PRT",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-25.4,37.8,"Hedera canariensis",137518913,"Isla de San Miguel: Lagoa das Sete Cidades, en un cráter volcánico. 400 m.","PRT",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-8.8,39.5,"Hedera canariensis",137518778,"Entre Porto de Mós e Mira d'Aire. Próximo de Zambujal de Alcaria. Mato junto aos afloramentos rochosos.","PRT",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-8.6,37.3,"Hedera canariensis",137518777,"Serra de Monchique. Barranco da Maceira. No final da estrada, sobreiral com medronheiros.","PRT",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-7.4,39.4,"Hedera canariensis",137518779,"Castelo de Vide: Quinta do Prado. Em mancha de Querqus ilex.","PRT",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-17.907471,28.812927,"Hedera canariensis",2833132728,"Spain - La Palma - Garafía","ESP",1000,2017,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-119.68884,34.46986,"Hedera canariensis",3053460540,"Rattlesnake Canyon Trail, in Rattlesnake Creek.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.7164,33.99736,"Hedera canariensis",3125035728,"Santa Cruz Island: along the canyon bottom/stream bed just north of Main Ranch near the junction with Canada del Puerto","USA",NA,2012,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.90972,33.30222,"Hedera canariensis",3125166739,"Palomar Mtn., Plaisted Creek Ecological Reserve, NE of Rincon & Pauma Valley, between Plaisted Cr. and Hwy 76, SE lobe of reserve near residences abandoned in 1996","USA",80,2005,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-117.0822,33.2881,"Hedera canariensis",3125167753,"N of Valley Center, 0.1 mile south of intersection of Lilac Rd and Keys Creek Road, where Keys Creek goes under Lilac Rd.","USA",NA,2005,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.1547,34.2583,"Hedera canariensis",3465120316,"San Gabriel Mountains, Arroyo Seco Canyon, Switzer Campground (Switzer's), c. 0.78 air miles down-canyon from Switzer Picnic Area, Condor Peak Quad","USA",NA,2017,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
18.848283,-33.939767,"Hedera canariensis",3343975631,"","ZAF",6,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.575714,37.897064,"Hedera canariensis",4046736647,"","USA",4,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.414462,-34.059536,"Hedera canariensis",2350350823,"","ZAF",8,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-16.404047,28.460403,"Hedera canariensis",4028990151,"","ESP",74,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
174.094257,-35.285134,"Hedera canariensis",4067318049,"","NZL",4,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-17.206581,28.125047,"Hedera canariensis",3961051617,"","ESP",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-15.524025,28.019617,"Hedera canariensis",3468935735,"","ESP",3,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.484329,37.789551,"Hedera canariensis",4009668853,"","USA",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.475997,-33.943292,"Hedera canariensis",1986518929,"","ZAF",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-123.418655,48.421975,"Hedera canariensis",3008397374,"","CAN",58,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
168.612137,-43.971622,"Hedera canariensis",1500220951,"","NZL",NA,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-124.250615,49.304662,"Hedera canariensis",3802483416,"","CAN",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.513833,37.520472,"Hedera canariensis",2429412300,"","USA",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
172.598648,-43.432739,"Hedera canariensis",2423255749,"","NZL",410,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.825311,-34.109267,"Hedera canariensis",2963759130,"","ZAF",16,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.516116,47.306064,"Hedera canariensis",3383864434,"","USA",19,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-117.5206,33.675819,"Hedera canariensis",2423199494,"","USA",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-69.97893,41.688649,"Hedera canariensis",3961135914,"","USA",521,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-121.953201,36.9743,"Hedera canariensis",3337421144,"","USA",3,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-121.927222,36.591373,"Hedera canariensis",3455188848,"","USA",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
174.734916,-36.841094,"Hedera canariensis",3031978057,"","NZL",68,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-15.499721,28.039047,"Hedera canariensis",4022341383,"","ESP",2,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.02383,-34.06969,"Hedera canariensis",2626155809,"","ZAF",1,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-1.066303,45.635864,"Hedera canariensis",3307203675,"","FRA",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
