"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-157.312889,70.456694,"Hedysarum alpinum",1846509523,"Arctic Slope District, 70 aior miles S of Point Barrow, near Eskimo village of Atkasook, 2.9 km SE of Meade River Camp.","USA",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-103.552917,43.952528,"Hedysarum alpinum",4061767105,"Black Hills National Forest. 1.1 miles on Forest Service Road 249 or East China Gull, off Hwy 16.","USA",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-134.133333,68.7,"Hedysarum alpinum",1257939646,"Mackenzie District, Reindeer Station, East Branch Mackenzie River.","CAN",NA,1963,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
128.9,43.12,"Hedysarum alpinum",4043911632,"","CHN",NA,1978,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
119.93,47.18,"Hedysarum alpinum",4045174248,"","CHN",NA,1973,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
116.97,45.52,"Hedysarum alpinum",4045264673,"","CHN",NA,2015,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-106.355659,52.630231,"Hedysarum alpinum",1880473539,"","CAN",5,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-129.105392,59.366067,"Hedysarum alpinum",3314243043,"","CAN",9,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-113.440759,52.579893,"Hedysarum alpinum",3873670307,"","CAN",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-116.421005,52.037775,"Hedysarum alpinum",2818573020,"","CAN",NA,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
73.108326,57.117373,"Hedysarum alpinum",2813927940,"","RUS",122,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-138.547418,61.14823,"Hedysarum alpinum",4067625472,"","CAN",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-107.0535378,44.2749775,"Hedysarum alpinum",2242354876,"Bighorn Mts., Sherd L. Trail above Circle Park campground; granite & gneiss substrate; 9380 ft.","USA",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-103.26,69.48,"Hedysarum alpinum",1988104366,"Tuktoyaktuk Peninsula","CAN",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-140.132014,69.602025,"Hedysarum alpinum",1988169096,"Ivvavik National Park, Komakuk River","CAN",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-114.833333,49.8,"Hedysarum alpinum",1988141813,"sparwood area, harmer ridge, westar mine reclaimation sites, foothills of the rockies","CAN",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-122.9,57.8,"Hedysarum alpinum",1988224862,"Peace River District, Prophet River region, mile 206 camp on Minaker River.","CAN",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-128.833333,68.433333,"Hedysarum alpinum",1988189746,"along the lower Anderson River, slope=25deg., aspect=wsw","CAN",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-125.966667,59.333333,"Hedysarum alpinum",1988205196,"along Alaska Highway, ca. 4 km north of Muncho Lake Provincial Park","CAN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-133.983333,67.916667,"Hedysarum alpinum",1988142371,"delta area of the Mackenzie river near Inuvik","CAN",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-110.133333,49.566667,"Hedysarum alpinum",1988114352,"35 miles se. of medicine hat, cypress hills","CAN",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-120.19686,53.99511,"Hedysarum alpinum",3414072494,"Kakwa Provincial Park, 80 km airmiles north from McBride, near continental divide and Alberta border","CAN",NA,2018,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-129.883333,59.716667,"Hedysarum alpinum",1988077284,"Mountain south of Cassiar","CAN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-110.708333,68.656944,"Hedysarum alpinum",1988128358,"Victoria Island, Johansen Bay, Nakoyoktok River at outflow of large unnamed lake, 18 km east-northeast of main coastal airstrip","CAN",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-133.05,61.616667,"Hedysarum alpinum",1988117769,"Lapie Lakes","CAN",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-135,68.2,"Hedysarum alpinum",1988191773,"aklavick","CAN",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-125.383333,58.55,"Hedysarum alpinum",1988126778,"near Headwaters of yedhe creek","CAN",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-120.833333,55.5,"Hedysarum alpinum",1988102814,"ca. 59 km North of Tumbler Ridge","CAN",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-135.05,60.716667,"Hedysarum alpinum",1988189849,"Whitehorse","CAN",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-122.666667,55.45,"Hedysarum alpinum",1988187393,"Murray Range, northeast of Pine Pass","CAN",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-135.85,66.133333,"Hedysarum alpinum",1988158212,"Richardson Mountains","CAN",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-133,66.3,"Hedysarum alpinum",1988119888,"3.5mi up Sainville River from Arctic Red River","CAN",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-140.875333,69.625515,"Hedysarum alpinum",1988243681,"Ivvavik National Park, Clarence Lagoon","CAN",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-129.59,57.5,"Hedysarum alpinum",1988242025,"Iskut","CAN",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-133.783333,59.583333,"Hedysarum alpinum",1988125169,"Stikine Regional District, Atlin Lake area","CAN",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-124.833333,58.5,"Hedysarum alpinum",1988206139,"wokkpash lake","CAN",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-133.583333,69.5,"Hedysarum alpinum",1988185795,"Hendrickson Island","CAN",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
