"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
132.46049,-24.49966,"Helichrysum ayersii",2850114337,"Somewhere in the NT","AUS",7,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.944114,-24.603359,"Helichrysum ayersii",1633463684,"","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.78189,-25.05265,"Helichrysum ayersii",2850140500,"Somewhere in the NT","AUS",7,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.830833,-23.776389,"Helichrysum ayersii",2445781175,"To the E of Ilparpa Rifle Range lands, S side of valley.","AUS",20,1996,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.468099,-24.379744,"Helichrysum ayersii",1633550850,"Located in Moreleys Paddock, 5km west of Morleys Bore.","AUS",20,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.266341,-24.395529,"Helichrysum ayersii",1633550423,"Located in Cottonbush Paddock, 3km east of Maloney Bore.","AUS",20,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.07258,-24.63035,"Helichrysum ayersii",2850234398,"Somewhere in the NT","AUS",7,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.620227,-24.417218,"Helichrysum ayersii",1633551168,"Located One Tree Hill Paddock, 2km north west of Whitewood Bore.","AUS",20,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.194813,-24.280556,"Helichrysum ayersii",1633461103,"","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.68309,-24.31296,"Helichrysum ayersii",2850238128,"Somewhere in the NT","AUS",7,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.95,-23.5667,"Helichrysum ayersii",2437740224,"16km ESE Atnarpa Homestead.","AUS",1000,1991,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.15,-24.5667,"Helichrysum ayersii",2436451748,"Meteorite craters on road to Wallara Ranch, 13km W from Stuart Hwy.","AUS",1000,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
125.20353,-29.69087,"Helichrysum ayersii",1085549808,"","AUS",5,1984,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
