"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.03,14.62,"Helinus integrifolius",3776342412,"Yemen, gov. Hadhramout, old track from Mukalla to Bein-al-Gibal, ca. 20 km N of Mukalla.","YE",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
28.9308,-28.6883,"Helinus integrifolius",1319462387,"KwaZulu Natal Province, Royal Natal National Park, near Lookout Rock.","ZA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
31.075241,-25.699647,"Helinus integrifolius",3456407705,"","ZA",16,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.763054,-28.952976,"Helinus integrifolius",1990614191,"","ZA",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.708823,-32.487989,"Helinus integrifolius",3044645296,"","ZA",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.1048,-6.3614,"Helinus integrifolius",3478088439,"","CD",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
29.2095,-12.3738,"Helinus integrifolius",3476771507,"","CD",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
31.292259,-25.475632,"Helinus integrifolius",2579399573,"","ZA",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
16.141,-21.706,"Helinus integrifolius",1839224838,"","NAM",110,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
47.52,14.07,"Helinus integrifolius",3776361491,"Yemen, gov. Shabwa, Jabal Gedu, slopes and wadis of the S-SE flank of the mountain, uppermost Wadi Tawila, close to the pass.","YE",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
39.143056,-10.105556,"Helinus integrifolius",4031666128,"W of forest near Mchingili Subvillage with Antiaris toxicaria, Milicia excelsa and Albizia adianthifolia.","TZ",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
