"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-68.029483,-23.168667,"Hoffmannseggia doellii",1257862788,"Hwy. 23, 3 km NW of Toconao, km 125.","CHL",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-67.939183,-23.552183,"Hoffmannseggia doellii",4031757441,"7 km NW of Socaire, Rt. 23.","CHL",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.244769,-22.90314,"Hoffmannseggia doellii",3764487827,"","CHL",8,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-67.793963,-22.876037,"Hoffmannseggia doellii",3902365311,"","CHL",89,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-68.7167,-22.7167,"Hoffmannseggia doellii",1936618762,"II Región. Prov. El Loa. Cuesta Barros Arana, en el Portezuelo.","CHL",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-68.161667,-22.262222,"Hoffmannseggia doellii",575343775,"Toconce, road at Quebrada Carrizo to Captación Toconce.","CHL",NA,2008,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-68.949444,-30.851111,"Hoffmannseggia doellii",1258083791,"Ruta Provincial 149, de La Ciénaga a Iglesia.","ARG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-69.4236,-30.9381,"Hoffmannseggia doellii",1949834863,"Road 425 from Villa Nueva nach [= to] Tocota","ARG",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-66.218028,-27.145861,"Hoffmannseggia doellii",1806080959,"Road 47, to Mianas Capillitas, about 15 km from the entrance of road 40","ARG",NA,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;DIFFERENT_OWNER_INSTITUTION"
-67.8667,-23.8,"Hoffmannseggia doellii",1936692968,"II Región. Prov. El Loa. Entre Laguna Tuayatu y Socaire, 40 km antes de Socaire","CHL",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-68.37213,-22.774638,"Hoffmannseggia doellii",2596056928,"","CHL",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
