"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-121.792397,40.966362,"Hosackia crassifolia",4067208403,"","USA",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-117.50535,33.709206,"Hosackia crassifolia",2251913076,"","USA",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-121.916953,37.880703,"Hosackia crassifolia",3772923399,"","USA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-118.9586625,34.6439449,"Hosackia crassifolia",3053346558,"Los Padres National Forest; Sewart Mtn Rd, between Sewart Mtn and Little Mutau Trail","USA",1000,2000,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-117.74667,34.42611,"Hosackia crassifolia",3330020313,"Boulder Canyon north of Big John Flat","USA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.628,34.704,"Hosackia crassifolia",3053365107,"Los Padres National Forest; Alamar Guard Station","USA",1000,1957,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.798,37.757,"Hosackia crassifolia",3053376814,"Crane Flat Rd","USA",1750,1951,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-117.1646174,34.2669679,"Hosackia crassifolia",3053383541,"North Shore Cmpgrd, Lake Arrowhead","USA",1000,1952,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.46376,34.5714,"Hosackia crassifolia",3053431888,"Potrero Seco Road.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.83633,34.70345,"Hosackia crassifolia",3053439105,"McKinley saddle, just below McKinley Peak, at the terminus of Forest Road 8N08.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.145,34.8113,"Hosackia crassifolia",3053458948,"Mount Pinos","USA",1000,1958,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-123.0563,41.9539,"Hosackia crassifolia",3053429764,"White Mtn","USA",3000,1961,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-120.015,35.015,"Hosackia crassifolia",3053461983,"2 mi E of Miranda Pine Mtn","USA",1000,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.7094,36.804,"Hosackia crassifolia",3053439392,"Kings Canyon National Park; Kings Cyn, 3 mi W of Cedar Grove","USA",1000,1962,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-120.799194,36.33002,"Hosackia crassifolia",3461028305,"road to Buffalo Ranch headquarters, 0.83 airline miles SW of Laguna Mountain peak","USA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.935,36.802,"Hosackia crassifolia",3053470684,"Kings Cyn, 6 mi E of Grant Lodge Village","USA",1750,1970,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.269075,34.544358,"Hosackia crassifolia",3053491361,"50 m west of basins 1-2, between 1-2 and 3 (numbering based on Magney book). On slope overlooking 1-2.","USA",NA,2020,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.5727406,36.3128821,"Hosackia crassifolia",3053353053,"Los Padres National Forest; Chews Ridge","USA",1500,1960,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.676,34.696,"Hosackia crassifolia",3053351312,"Los Padres National Forest West Big Pine Lookout","USA",1000,1959,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.4355,36.093,"Hosackia crassifolia",3053382411,"headwaters of the Arroyo Seco ca. 1 mi S of The Indians","USA",1000,1958,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.133185,34.501922,"Hosackia crassifolia",3053411378,"Lion Canyon Trail, approx. 500 m north of junction with Nordhoff Ridge Road where Creek intersects trail.","USA",NA,2020,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.3423,34.461,"Hosackia crassifolia",3096875301,"Pine Mtn Ridge along Pine Mtn Rd","USA",500,2004,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.0116,34.4565,"Hosackia crassifolia",3827636302,"Los Padres National Forest; North side Santa Paula Peak Trail from Cienega campground to Bear Heaven.","USA",1250,1998,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.8102,32.6021,"Hosackia crassifolia",3053340751,"Otay Mtn Rd, E from Doghouse Junction","USA",3217,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.588333,32.9125,"Hosackia crassifolia",3053379930,"Paso Robles: Cuyamaca. drainage off point ca. 10 m up drainage. Loc. 2","USA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.9487,34.669417,"Hosackia crassifolia",3053402052,"S side Alamo Mtn, slopes above Big Spring, Los Padres National Forest","USA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-118.4016637,35.9459151,"Hosackia crassifolia",3053468048,"Cherry Hill Rd to Big Meadow; Kern Plateau","USA",1000,1965,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-121.522392,44.527313,"Hosackia crassifolia",3902721894,"","USA",5005,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-116.899886,34.235219,"Hosackia crassifolia",2813968496,"","USA",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.689778,38.537017,"Hosackia crassifolia",2273296964,"","USA",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-116.754948,33.733776,"Hosackia crassifolia",1914360683,"","USA",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-122.748252,39.354508,"Hosackia crassifolia",1993780202,"","USA",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-116.631513,33.703688,"Hosackia crassifolia",1883917217,"","USA",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-120.317,42.3896,"Hosackia crassifolia",2512868560,"Dick's lake, T37S, R20E, Section 2","USA",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-118.533988,36.138182,"Hosackia crassifolia",2283105000,"","USA",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-119.607504,37.506917,"Hosackia crassifolia",4022300455,"","USA",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-120.312438,42.192276,"Hosackia crassifolia",3873030732,"","USA",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-116.61317,33.15234,"Hosackia crassifolia",3125065366,"Along dirt road to Volcan Mountain, east of Pechacho Peak. Rutherford Ranch, north of Julian","USA",NA,1993,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.8808,32.60178,"Hosackia crassifolia",3125063360,"Otay Mountain W side, Bureau of Land Management, upper SW fork of canyon that drains into Buschalaugh Cove of Lower Otay Reservoir.","USA",NA,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.8701,33.3134,"Hosackia crassifolia",3125064361,"Palomar Mountain State Park, along park entrance road between boundary & entrance station","USA",500,1966,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.98868,33.41673,"Hosackia crassifolia",3125062393,"Cleveland National Forest, Agua Tibia Wilderness Area, NW Palomar Mountains, on the saddle between two peaks of Agua Tibia Mountain, east of a large oak grove at the Dripping Springs Trail & Palomar-Magee Trail junction","USA",241,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
