"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
145.4333,-17.3667,"Hovea nitida",2434716138,"Wild River Gorge, near Herberton, Atherton Tablelands.","AUS",1000,1977,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.449083,-17.333333,"Hovea nitida",2435793490,"Carrington Falls, 8km SSE of Atherton.","AUS",1000,1992,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.7,-17.3,"Hovea nitida",2827212193,"SFR 310, Gadgarra, Dreghorn LA","AUS",NA,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.5,-17.55,"Hovea nitida",2827264778,"Chilverton","AUS",NA,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.266667,-20.133333,"Hovea nitida",2827367325,"Mt Sturgeon Holding","AUS",NA,1959,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.383333,-19.7,"Hovea nitida",2827274910,"100 miles N of Hughenden","AUS",NA,1959,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.2,-18.95,"Hovea nitida",2827150209,"R 268 Mt Spec","AUS",NA,1970,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.583333,-17.85,"Hovea nitida",2827407215,"SFR 605, Ramleh, Hilton LA","AUS",1000,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.115556,-19.069444,"Hovea nitida",2827362126,"7.0 km SW of Paluma - Hidden Valley road towards Taravale, approx. 80 km WNW of Townsville.","AUS",50,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.796389,-18.595556,"Hovea nitida",2827364315,"Girrungun NP, ca. 1 km from Stony Creek bridge along road to Garrawalt Creek, West of Ingham.","AUS",1000,2005,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.75,-17.35,"Hovea nitida",2827273822,"SFR 310, Windin LA","AUS",NA,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.259442,-16.640136,"Hovea nitida",2418735547,"Luster Creek area.","AUS",2000,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
146.059442,-18.990123,"Hovea nitida",2418578927,"17km W of Paluma on road to Hidden Valley.","AUS",2000,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
145.630378,-17.295182,"Hovea nitida",2542975779,"","AUS",122,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
145.726111,-18.173889,"Hovea nitida",2418551031,"Kirrama Range Forest Reserve.","AUS",100,2005,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
145.5,-17.45,"Hovea nitida",912235265,"Queensland, Cook Region (/district), Chilverton area, between Atherton and Ravenshoe, property of R. & A. Portess","AUS",0.2,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.97225,-18.272417,"Hovea nitida",3779120226,"On the rocky banks of Attie Creek, Cardwell","AUS",200,2019,"MACHINE_OBSERVATION","COORDINATE_ROUNDED"
148.592755,-21.423437,"Hovea nitida",2418452554,"Sydney Heads, 32km NNW of Nebo.","AUS",2000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
145.583606,-17.008595,"Hovea nitida",2963764987,"","AUS",118,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
