"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
147.4053,-33.625,"Hypochaeris glabra",2829267877,"Parallel with lake edge in Portion 2, W of Lake Cowal. Lake Cowal Vegetation Survey Transect 92. AMG - E537610 N6279310.","AUS",1000,1993,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
147.93,-34.83,"Hypochaeris glabra",2828119868,"3.5 km SE of Mount Ulandra, Ulandra Nature Reserve.","AUS",1000,2001,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.030453,-33.626858,"Hypochaeris glabra",2829773677,"Area surrounding survey site 1, Mungo National Park.","AUS",5,2017,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.78,-29.83,"Hypochaeris glabra",2828104987,"Old woolshed and bore, 11 km SW of 'Moalie Park' - 'Salisbury Downs'.","AUS",1000,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
6.37461,52.778531,"Hypochaeris glabra",1276610310,"","NLD",NA,1975,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.21857,52.312341,"Hypochaeris glabra",1281902377,"","NLD",NA,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.01043,51.917013,"Hypochaeris glabra",1276598946,"","NLD",NA,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
2.66201,48.4348,"Hypochaeris glabra",1108419309,"","FRA",5000,1970,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-3.19937,47.64102,"Hypochaeris glabra",1122357221,"","FRA",5000,2007,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
6.889,43.41429,"Hypochaeris glabra",1117656155,"","FRA",5000,1976,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
