"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
131.50818,-26.29889,"Indigofera longibractea",1084285110,"","AUS",100,1998,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
139.45,-30.183333,"Indigofera longibractea",2830709691,"Northern Flinders Range, Paralana Hot Springs, ca 110 km ENE ofLeigh Ck.","AUS",NA,1963,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
131.80402,-26.28637,"Indigofera longibractea",1085223101,"","AUS",250,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
132.116667,-26.266667,"Indigofera longibractea",2830365365,"Ernabella.","AUS",1000,1966,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.055556,-30.596667,"Indigofera longibractea",2303143982,"Flinders Ranges, W of Italowie Gorge, Mount Mckinley Creek, Gammon Ranges National Park","AUS",NA,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.625278,-29.959167,"Indigofera longibractea",2828793359,"Region 2. Brindana Gorge. Slopes around Nent Oura Research Unit. Mount Freeling Station. Callabonna 255 289.","AUS",1000,1987,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
128.75,-24.666667,"Indigofera longibractea",2830683523,"Eastern foot of Walter James Range.","AUS",NA,1967,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
138.876302,-30.556853,"Indigofera longibractea",4016978714,"N flinders ra mt searle hs in frome riverbed","AUS",2000,1956,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
139.143463,-30.471462,"Indigofera longibractea",1632985333,"","AUS",500,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.444124,-26.056783,"Indigofera longibractea",2827737069,"Sentinel Hill, 40 km NE of Ernabella","AUS",150,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.419444,-30.122222,"Indigofera longibractea",2830288070,"Arkaroola Pastoral Lease. Mawson Plateau. Near the Granite Country","AUS",15,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.016667,-33.516667,"Indigofera longibractea",2828790425,"Waukeroo Hills, N [S] of Broken Hill.","AUS",2000,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
141.55,-31.716667,"Indigofera longibractea",2830702071,"Mt Gipps Station, Hills Waukeroo, about 40 km N of Broken Hill.","AUS",1000,1996,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
138.85996,-31.34775,"Indigofera longibractea",1085127423,"Bunkers (CR)","AUS",NA,1987,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
138.8951,-31.043,"Indigofera longibractea",1085123931,"","AUS",NA,1987,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
138.1739,-32.82135,"Indigofera longibractea",1085592803,"Mount Remarkable (NP)","AUS",NA,1986,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.033333,-26.133333,"Indigofera longibractea",2430889807,"315km to Mulga Park","AUS",1000,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
139.21131,-30.99658,"Indigofera longibractea",1085140220,"","AUS",NA,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
