"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-89.29761,13.52011,"Indigofera micheliana",4066820011,"El Salvador: Depto. La Libertad, Mpio. La Libertad, Ctón, Tepeagua, Crío. Tepeagua, Propiedad de Holcim (Sector 4, zona de Plantel y Cantera). Vegetación secundaria en terreno de extracción de material pétreo. Arbusto de aprox. 1.7 m; frutos café. Alt.: 228 m.2021-12-27, Leg.: Galán,P., Villacorta,A., Campos,S., Castillo,O. & Portillo,J. 5932 [PG-05932].","SLV",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-89.55567,14.3375,"Indigofera micheliana",4066820012,"El Salvador: Depto. Santa Ana, Mpio. Metapán, Ctón. San Jerónimo, Crio. Ostúa, Hacienda 3 Puentes, calle al Crio. La Virgen, orilla del Potrero El Barillal . Vegetación silvestre a la orilla del camino de tierra. Arbusto de 2 m con flores rosadas y frutos verdes . Alt.: 456 m.2020-09-22, Leg.: Rodríguez,D. & Portillo,W. 7795 [DR-07795].","SLV",NA,2020,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-85.933333,11.8,"Indigofera micheliana",1258234841,"El Guacual, 4 km de San José de Mombacho","NIC",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.616667,13.183333,"Indigofera micheliana",1261886440,"0.5 km al S de San Juan de Limay, carretera a Achuapa, Municipio San Juan de Limay","NIC",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-95.878889,15.997222,"Indigofera micheliana",1259979892,"Municipio de San Carlos Yautepec, Carretera costera, 15.5 km al sobre terraceria a Guadalupe Victoria.","MEX",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-88.633333,13.95,"Indigofera micheliana",1259981103,"Cabañas, Sensuntepec, Villa Victoria.","SLV",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-85.466667,12.116667,"Indigofera micheliana",1261846153,"Hda. Corpus, W of Juigalpa; potreros","NIC",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-85.5,11.983333,"Indigofera micheliana",1261524853,"Cerro Las Queseras de Puerto Díaz","NIC",NA,1982,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-92.050833,16.045,"Indigofera micheliana",1258547837,"Along small dirt road to Boqueron and Ejido Mujica W of Mexican Highway 190 at point 18 km SW of La Trinitaria.","MEX",NA,1976,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-84.9,9.95,"Indigofera micheliana",1261543775,"Isla San Lucas, Golfo de Nicoya. Elev. 5-25 m. 9º57'N, 84º54'W.","CRI",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-88.20731,13.40722,"Indigofera micheliana",4066817012,"El Salvador: Depto. San Miguel, Mpio. San Miguel, Ctón. La Puerta. Arbusto. Alt.: 173 m.2021-10-16, Leg.: Reyes,M.D. s.n. [JBL08259].","SLV",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-89.14648,13.98152,"Indigofera micheliana",4066819013,"El Salvador: Depto. Cuscatlán, Mpio. Suchitoto, Ctón. San Lucas, Hda. Los Nacimientos . Arbusto. Alt.: 268 m.2021-10-21, Leg.: Reyes,M.D. s.n. [JBL08257].","SLV",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-87.583333,13.016667,"Indigofera micheliana",1261457864,"Potosí, camino Los Placeres; bosque seco tropical","NIC",NA,1983,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-88.08472,13.94028,"Indigofera micheliana",1585304715,"Depto. Morazán, Perquín, Area Natural Protegida Río Sapo, entre la Montaña El Garrobo y Poza La Culebra","SLV",NA,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-89.40217,14.36628,"Indigofera micheliana",1585305030,"Depto. Sta. Ana, Mpio. Metapán, P.N. Montecristo, El Amate-El Potrerito.","SLV",3,2017,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-89.94972,13.84694,"Indigofera micheliana",1585305042,"Depto. Cabañas, Mpio. Tejutepeque. Área Natural Protegida Bosque de Cinquera. Lugar de La Tigra. Los Encuentros.","SLV",NA,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.033333,11.95,"Indigofera micheliana",1258277682,"Santa Isabel, al sur de Laguna de Apoyo","NIC",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.05,12.6,"Indigofera micheliana",1261891791,"Puertas Viejas, Km 70 Carretera Norte","NIC",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-85.966667,12.333333,"Indigofera micheliana",1258257408,"Las Banderas, Km 43 y 44 carretera a Boaco","NIC",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-85.783333,11.133333,"Indigofera micheliana",1258218112,"Hacienda La Flor, 18 km al sur de San Juan del Sur; bosque tropical seco","NIC",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.166667,11.983333,"Indigofera micheliana",1258201655,"Entrada al Parque Nacional Volcán Masaya, Km 23","NIC",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-87.737778,14.958611,"Indigofera micheliana",1258547910,"Unión del Río Yure con Río Humuya, 100 km NO ciudad Comayagua. Proyecto Hidroeléctrico de El Cajón.","HND",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.3,13.7,"Indigofera micheliana",1261856581,"Ocotal, Mozonte, carretera entre Ocotal y Mozonte.","NIC",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-87.533333,12.95,"Indigofera micheliana",1260627535,"Camino maderero que se dirige hacia el lado SE del Consiqüina","NIC",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-91.733056,15.8375,"Indigofera micheliana",1259982190,"Colectado en Pozo Piedra, Nentón, bosque seco subtropical","GTM",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-93.084167,16.509444,"Indigofera micheliana",1259432828,"Steep canyon, 15 km SW of Suchiapa along road to Villa Flores. [Original label elevation 750 m.]","MEX",NA,1972,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
