"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-86.03,11.95,"Indigofera subulata",1563325755,"Departamento de Granada: Santa Isabel, al S de la Laguna de Apoyo","NIC",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
-70.7417,19.575,"Indigofera subulata",1928920552,"Cordillera Septentrional: subida de parada de Piche a Loma Diego de Ocampo: un hombro de la Loma.","DOM",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-71.68,19.48,"Indigofera subulata",1930409083,"En la zona rural denominado Tamarindo, 6 km norte de Pueblo Nuevo en el camino a Dajabon.","DOM",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-70.7417,18.9,"Indigofera subulata",1928892229,"Cordillera Central: Hotel Nueva Suiza, 3 Km sur de la calle principal de Constanza: en la zona fuera el parqueo del hotel , de Malezas y hierbas perbnnes.","DOM",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-70.5,19.05,"Indigofera subulata",1930538412,"Cordillera Central: (Vieja Prov. La Vega): en paso del Alto (Altar) de Casabito, (en la carretera de Bonao oeste a El Rio y Constanza).","DOM",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
43.41388,-22.89305,"Indigofera subulata",4061345283,"9 km N of Manombo along coast near Fiserenamasay. Spiny/deciduous bush on dunes adjacent to the sea.","MDG",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-84.779167,13.725,"Indigofera subulata",1257994011,"Vicinity of La Luz-Siuna","NIC",NA,1961,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-111.053861,28.0155,"Indigofera subulata",4061145385,"Cañón Nacapule.","MEX",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
34.91388,-5.05277,"Indigofera subulata",4061705014,"10.2 km S from Makiungu-Mungaa rd en route to Ntuntu. Slightly rolling terrain, rather sandy soil. Dense bushland (thicket) 2-4m high with shrubby acanth, Combretum, Burttia, Grewia, Dichrostachys, Vitex, Senna, Maerua, others.","TZA",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-89.45,14.25,"Indigofera subulata",4061125159,"Cantón San Diego, calle a Metapán, orilla de la carretera.","SLV",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-85.430278,14.1,"Indigofera subulata",1257603621,"Municipio de Wiwilí, Comunidad Boca de Plis, Reserva Bosawas, Territorio Tasbaika Kum, parcela 3, finca de Arnulfo Hernández 800 m al oeste de la comunidad","NIC",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-86.166667,11.783333,"Indigofera subulata",4061387810,"Santa Teresa, Route 2; high clay bank and shrine [Seymour series]","NIC",NA,1968,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
