"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-72.16666,7.58333,"Inga fastuosa",1258518638,"Río Negro. 0.5 to 2 km from main highway, road adjacent to river. Secondary forest on slope above river.","VEN",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.914133,6.381344,"Inga fastuosa",1570684565,"Vereda Sabanas de La Vieja, Ronda de protección del río Tame","COL",31,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-55.63,-11.72,"Inga fastuosa",1931112581,"19 km W of BR 163 on road to Porto dos Gaúchos (MT 220).","BRA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-77.68083,7.666389,"Inga fastuosa",1258288204,"Urabá-Chigorodó-Malagón, Caño Malagón","COL",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.66666,-4.25,"Inga fastuosa",1258318829,"Miraflores. (Qda. Tamshiyacu). Bosque primario.","PER",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-62.283333,8.466667,"Inga fastuosa",1259087209,"5–14 km ESE of Los Castillos de Guayana.","VEN",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-53.35889,4.6075,"Inga fastuosa",1828832413,"Réserve Naturelle des Montagnes de la Trinité","GUF",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-62.916667,7.166667,"Inga fastuosa",1259209568,"20 to 35 km SW of Monteco on road to San Pedro de las Dos Bocas; disturbed primary forest.","VEN",NA,1978,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-62.645833,10.691667,"Inga fastuosa",1269532283,"Península de Paria. Santa Isabel, 8-9 km al E del Cabo Tres Puntas.","VEN",NA,2003,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_NON_NUMERIC;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-53.91,3.55,"Inga fastuosa",1455985395,"Mont Atachi Bacca, région de l'Inini. Sommet nord, a 7.5 km a l'est de Gobaya Soula. Env. du camp 2","GUF",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-68.9475,-14.61555,"Inga fastuosa",1260108366,"Parque Nacional Madidi, Lagunillas, entre Tokoake y Carjata Bosque subandino-montano pluvial con Dictyocaryum lamarckianum. Inventario fitosociologico Madidi 49. Plantas alcoholizadas.","BOL",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-64.21666,7.18333,"Inga fastuosa",1260533925,"Municipio Raul Leoni. Río Ariza, a 55 Km al NE de San Francisco de la Paragua.","VEN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
