"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-46.43,-2.72,"Inga laurina",1928635145,"Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi. Forest inventory 6km from village.","BRA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-44.7133731,-23.2219627,"Inga laurina",1930834308,"Area de proteção ambiental de Cairuçu, entre Faz. Sta. Maria, Praia do sono, saco do Mamanguá.","BRA",NA,1990,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-39.08,-16.43,"Inga laurina",1930711323,"Fonte dos Protomartires do Brasil","BRA",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-52.1590428,-14.0539732,"Inga laurina",1928204603,"50 km north of Chavantina, Rio Vau. Serra do Roncador","BRA",NA,1964,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-95.075,18.5881,"Inga laurina",1930085521,"Laguna escondida, 3 km NO de la Estación de Biología Tropical Los Tuxtlas.","MEX",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-68.8,18.75,"Inga laurina",1930463645,"21 Km N of Santana (Higuey to Hato Mayor road). On road to La Colorada via Cruce de la Sabana de Palmarejo; at Río Maimoncite, Los Husos area.","DOM",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-105.1122,21.5611,"Inga laurina",1929370004,"3-5 km N of Mecatán, Nay.","MEX",NA,1965,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-70.23,18.55,"Inga laurina",1929067521,"Base Cordillera Central: en las orillas del rio Matuey, en Mano Matuey, 12 Km noroeste de Hato Damao, cosi en el sin del camino tiansitable por vehiculos.","DOM",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-69.28,-12.83,"Inga laurina",1930648673,"Zona Reservada de Tambopata. Confluence of rivers Tambopata and La Torre","PER",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-63.85,-19.15,"Inga laurina",4061494121,"Ca. 1 km del comunidad Las Frias subiendo hacia la cima de la serrania de Yahuananca. Bosque seco con arboles de Myroxylon y Parapiptadenia; potreros y casas en el pie de monte de la serrania de Yahuananca; exposicion E.","BOL",NA,2003,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-61.81333,-16.76861,"Inga laurina",1260886365,"Región de Lomerio. Comunidad San Antonio. Orilla de río Tobosí.","BOL",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-67.91861,-14.17555,"Inga laurina",1259111797,"Parque Nacional Madidi. Bosque tropical lluvioso primario. Tierra firme escasa pendiente, región de Tumupasa","BOL",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-70.769167,-13.215556,"Inga laurina",1257656208,"Dist. Camanti. Quincemil.","PER",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-61.04388,-14.78416,"Inga laurina",1261864914,"Campamento EL REFUGIO, a 1900 m al SW de la casa, yendo a Toledo. En la Pampa de las Islas. Suelos arcillosos con presencia de limo.","BOL",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-80.183333,-0.15,"Inga laurina",4061846992,"Hacienda Don Juan, 10 km northeast of Jama, slopes north of Río Don Juan. Tropical moist forest along ridge, with frequent fogs and high humidity.","ECU",NA,1998,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-60.846389,-16.520278,"Inga laurina",4061011172,"Lomerio. 12 km al Norte de la comunidad Las Trancas. Parcelas permanente del proyecto Bolfor, Las Trancas 95. Bosque seco chiquitano. Especies muy frecuentes de Andenanthera colubrina, Poeppigia procera, Centrolobium microchaete, etc. Suelos lateríticos.","BOL",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-84.746111,11.1475,"Inga laurina",1257738176,"2.2 km NE of San Carlos along road to Los Chiles, Km 293.5; roadside and weedy moist forest","NIC",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-84.76,10.91,"Inga laurina",1261829388,"Refugio Nacional de Vida Silvestre Caño Negro, Llanura de Guatuso, San Antonio.","CRI",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
