"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
133.35,-12.8,"Jacksonia pendens",2828059236,"Headwaters East Alligator.","AUS",5000,1984,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.94346,-12.781568,"Jacksonia pendens",1633265554,"at Kakadu FP150","AUS",NA,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.46474,-14.29855,"Jacksonia pendens",1633086182,"Nitmiluk.","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.85434,-13.44262,"Jacksonia pendens",1633261923,"","AUS",NA,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.84386,-13.28295,"Jacksonia pendens",1633268843,"","AUS",NA,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.530296,-13.313072,"Jacksonia pendens",1633271164,"","AUS",NA,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.809491,-12.873583,"Jacksonia pendens",4016868066,"Nourlangie Creek.","AUS",2000,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
132.95,-12.916667,"Jacksonia pendens",2830588733,"Near MOuth of Sawcut Gorge, 28.5 km SSE of Jabiru East.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.983333,-12.55,"Jacksonia pendens",2830711270,"14.5 km NE of Jabiru East.","AUS",50,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.216667,-12.333333,"Jacksonia pendens",2829815254,"Without locality.","AUS",1000,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.833333,-13.266667,"Jacksonia pendens",2830076311,"Top of Jim Jim Falls.","AUS",2000,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.95,-12.466667,"Jacksonia pendens",2829120656,"Kakadu National Park, 5 km S of Cahill's Crossing, East Alligator River.","AUS",1000,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.483333,-13.333333,"Jacksonia pendens",2828903308,"31 km WSW of Twin Falls.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.09,-13.791667,"Jacksonia pendens",1633056973,"Sleisbeck. Top of sandstone plateau","AUS",20,1996,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.95,-13.883333,"Jacksonia pendens",2828583883,"Kakadu National Park: upper Birdie Creek area. STOW sheet.","AUS",1000,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.333333,-12.483333,"Jacksonia pendens",2827870540,"Escarpment above Myra Falls.","AUS",1000,1993,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.55,-12.833333,"Jacksonia pendens",2830747797,"On pine Creek road, 25 km S of junction with Arnhem Highway.","AUS",1000,1980,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.816667,-12.816667,"Jacksonia pendens",2830725611,"10.5 km from Pine Creek Road towards Koongarra saddle.","AUS",1000,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.006873,-12.822228,"Jacksonia pendens",2826911727,"Arnhem Land, Magela Creek upper catchment.","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.045945,-12.605373,"Jacksonia pendens",2826725217,"At Hollow Rock, 17km ENE Jabiru airstrip","AUS",NA,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.092835,-12.840249,"Jacksonia pendens",4016873679,"16km NNE of Mount Cahill.","AUS",2000,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
