"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
29.9167,-22.9167,"Kalanchoe brachyloba",2549482204,"2229DD Grid ref. Regio Limpopo Province. Louis Trichardt District: ± 23 km N of Louis Trichardt in Wylies Poort.","ZA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
26.672921,-22.40629,"Kalanchoe brachyloba",3097283125,"","BW",61,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.781285,-24.278581,"Kalanchoe brachyloba",2856757581,"","ZA",122,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.51878,-25.69235,"Kalanchoe brachyloba",2311392367,"","ZA",8,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
31.998528,-26.215477,"Kalanchoe brachyloba",1838416388,"","SZ",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.970002,-24.348453,"Kalanchoe brachyloba",3772495068,"","ZA",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.307802,-24.331614,"Kalanchoe brachyloba",3760137654,"","ZA",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.371084,-24.350056,"Kalanchoe brachyloba",3859934160,"","ZA",402,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.53435,-20.133555,"Kalanchoe brachyloba",3873161919,"","BW",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.741975,-27.15304,"Kalanchoe brachyloba",3743349031,"","NAM",146,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.916667,-19.133333,"Kalanchoe brachyloba",2819336318,"Mlezu Government Agricultural Farm. Gwelo District, 18 miles SSE of Que Que. Extent 2200 acres.","ZW",NA,1966,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
31.478828,-25.101742,"Kalanchoe brachyloba",3772740417,"","ZA",3,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.815637,-24.403401,"Kalanchoe brachyloba",1838316220,"","ZA",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.345568,-23.86505,"Kalanchoe brachyloba",3466370386,"","ZA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.385335,-24.29841,"Kalanchoe brachyloba",3963473968,"","ZA",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.273293,-18.687388,"Kalanchoe brachyloba",2634359313,"","ZW",8,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
16.33558,-24.47926,"Kalanchoe brachyloba",2244195124,"","NAM",1,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.15,-19.538333,"Kalanchoe brachyloba",2831177303,"In firm andy soil close to the XaiXai-Qangwa road in open savanna.","BW",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
