"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
30.2,-31.05,"Kalanchoe thyrsiflora",4061348333,"All Sts. Nek, ±3 miles from Englobo on Umtata road.","ZA",NA,1953,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
28.505133,-25.6877,"Kalanchoe thyrsiflora",3399144867,"","ZA",1,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.41116,-28.52729,"Kalanchoe thyrsiflora",1838355025,"","ZA",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
28.396385,-25.36824,"Kalanchoe thyrsiflora",3860174410,"","ZA",4370,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.210582,-26.484953,"Kalanchoe thyrsiflora",2898353531,"","ZA",1,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.564207,-25.818329,"Kalanchoe thyrsiflora",3873395480,"","ZA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.190837,-25.768388,"Kalanchoe thyrsiflora",2626377152,"","ZA",302,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.535385,-25.854154,"Kalanchoe thyrsiflora",3902473881,"","ZA",517,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.86482,-23.61088,"Kalanchoe thyrsiflora",3986304576,"","ZA",3,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.191645,-29.774623,"Kalanchoe thyrsiflora",3109075198,"","ZA",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.262675,-25.95692,"Kalanchoe thyrsiflora",2609177869,"","ZA",56,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.964215,-25.81537,"Kalanchoe thyrsiflora",2813937745,"","ZA",1,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.2975,-25.890278,"Kalanchoe thyrsiflora",3966707816,"","ZA",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.461225,-25.84625,"Kalanchoe thyrsiflora",3330680611,"","ZA",NA,2005,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.354752,-25.806416,"Kalanchoe thyrsiflora",1838349439,"","ZA",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.0397,-28.6898,"Kalanchoe thyrsiflora",1838055789,"","ZA",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.7019,-29.8025,"Kalanchoe thyrsiflora",1850895939,"","ZA",1,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.794878,-25.908738,"Kalanchoe thyrsiflora",3705741602,"","ZA",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.945654,-28.693071,"Kalanchoe thyrsiflora",2242746000,"","ZA",237,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.501998,-25.523095,"Kalanchoe thyrsiflora",3330629944,"","ZA",16,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.178033,-25.713265,"Kalanchoe thyrsiflora",2423127053,"","ZA",1406,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.217812,-28.543509,"Kalanchoe thyrsiflora",3902787851,"","ZA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.975533,-33.988163,"Kalanchoe thyrsiflora",3113302538,"","ZA",8,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.842102,-28.893196,"Kalanchoe thyrsiflora",3705384505,"","ZA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-93.178,44.7316,"Kalanchoe thyrsiflora",122964312,"","US",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_UNCERTAINTY_METERS_INVALID;TAXON_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
30.643457,-25.074915,"Kalanchoe thyrsiflora",2980962595,"","ZA",61,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.735063,-25.733742,"Kalanchoe thyrsiflora",4009850160,"","ZA",3,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.43653,-26.621281,"Kalanchoe thyrsiflora",3384994670,"","ZA",1,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.660876,-28.738962,"Kalanchoe thyrsiflora",1914307322,"","ZA",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
27.47896,-25.82975,"Kalanchoe thyrsiflora",2422757490,"","ZA",1,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.421498,-25.598265,"Kalanchoe thyrsiflora",3873823208,"","ZA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.841794,-25.903991,"Kalanchoe thyrsiflora",3398887088,"","ZA",52,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.000623,-25.482318,"Kalanchoe thyrsiflora",3061773590,"","ZA",51,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
14.879547,-22.689737,"Kalanchoe thyrsiflora",922118352,"Swakop-River","NAM",250,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
27.526111,-31.798889,"Kalanchoe thyrsiflora",3947431871,"","ZA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.44164,-25.905477,"Kalanchoe thyrsiflora",3113452900,"","ZA",16,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.852714,-28.864517,"Kalanchoe thyrsiflora",3457006795,"","ZA",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
27.781352,-26.052187,"Kalanchoe thyrsiflora",3032011394,"","ZA",1,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.74575,-32.570881,"Kalanchoe thyrsiflora",3031979719,"","ZA",2,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.34834,-25.75938,"Kalanchoe thyrsiflora",1838343351,"","ZA",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
26.981527,-32.124012,"Kalanchoe thyrsiflora",3881490291,"","ZA",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.240368,-25.888565,"Kalanchoe thyrsiflora",2422899375,"","ZA",190,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
26.524871,-25.695589,"Kalanchoe thyrsiflora",2311392450,"","ZA",1219,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.214407,-26.500331,"Kalanchoe thyrsiflora",3698109944,"","ZA",4,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
