"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
46.33,-20.25,"Koehneria madagascariensis",1096893184,"Madagascar, Fianarantsoa, Amoron'i Mania Region. Ihosy, 2 km au Sud Est de Betaimboraka (vol d'oiseau), 1 km au Nord de Andranobetroka.","MDG",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
44.24,-23.8925,"Koehneria madagascariensis",4061059362,"Ca. 4 km W of Vohitsara, on route between Ambatry and Beheloka, degraded shrub forest on sand. Collected with F. Rakotonasolo. Specimens preserved in alcohol.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
44.06,-21.499722,"Koehneria madagascariensis",4062077516,"Manja. 41 km au SW de Manja. Savane arborée. Sur sol latéritique. Echantillons préservées en alcool. Récolté avec M. Rasoafaranaivo, C. Randrianarivelo, D. Rabehevitra & F. Rakotoarivony.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.145,-22.86777,"Koehneria madagascariensis",1259229146,"Lanara rivière, Betroka. Forêt galerie","MDG",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.145,-24.312778,"Koehneria madagascariensis",3946772568,"District Amboasary, Commune Marotsiraka, Fokontany Analamainty, NAP Vohidava-Betsimalaho, Ambatomizoa Forest. Collected with Zorombala. Preserved in alcohol.","MDG",NA,2022,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.572222,-23.688889,"Koehneria madagascariensis",2268967530,"District Betioky, Réserve Spéciale Beza Mahafaly.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.93333,-25.05,"Koehneria madagascariensis",1260341244,"Préfecture de Fort Dauphin; forêt sèche de Vinanibe; bush.","MDG",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
45.48333,-25.3,"Koehneria madagascariensis",1260341131,"Road from Ambovombe to Tsiombe, near Tsiombe (25º18'S, 45º29'E).","MDG",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.83323,-20.609385,"Koehneria madagascariensis",2429208992,"","MDG",4,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
45.379774,-22.539452,"Koehneria madagascariensis",2006039481,"","MDG",26,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
