"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
20.0297,-34.7582,"Lachenalia juncifolia",1913653526,NA,"ZAF",1,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.412306,-34.446715,"Lachenalia juncifolia",2611077486,NA,"ZAF",2,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.741667,-32.551866,"Lachenalia juncifolia",2988510871,NA,"ZAF",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.0734,-33.4899,"Lachenalia juncifolia",2282989207,NA,"ZAF",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.453948,-33.287719,"Lachenalia juncifolia",2619976417,NA,"ZAF",25,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.863835,-33.782823,"Lachenalia juncifolia",3912025361,NA,"ZAF",911,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.363705,-33.34444,"Lachenalia juncifolia",3408011558,NA,"ZAF",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.4277,-34.3562,"Lachenalia juncifolia",1838364024,NA,"ZAF",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.36785,-33.66797,"Lachenalia juncifolia",1838335878,NA,"ZAF",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.323174,-33.273926,"Lachenalia juncifolia",2611057639,NA,"ZAF",9,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.453791,-33.612224,"Lachenalia juncifolia",2456491475,NA,"ZAF",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
20.489142,-33.338212,"Lachenalia juncifolia",3383879342,NA,"ZAF",32,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.312388,-33.458994,"Lachenalia juncifolia",3384911443,NA,"ZAF",23,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.247328,-32.79368,"Lachenalia juncifolia",2429398301,NA,"ZAF",15,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.166678,-32.529726,"Lachenalia juncifolia",3014013608,NA,"ZAF",687,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.21943,-34.097967,"Lachenalia juncifolia",3923488918,NA,"ZAF",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.020698,-33.582884,"Lachenalia juncifolia",2988335328,NA,"ZAF",15,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.452696,-34.485027,"Lachenalia juncifolia",2429542980,NA,"ZAF",39,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.0482,-34.327897,"Lachenalia juncifolia",3355825405,NA,"ZAF",6,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.1221,-32.2804,"Lachenalia juncifolia",1850894026,NA,"ZAF",1,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.496696,-32.863641,"Lachenalia juncifolia",1931499680,NA,"ZAF",83,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
