"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
18.851519,-13.137448,"Landolphia camptoloba",3985954683,"","AGO",5,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
18.364872,-12.141153,"Landolphia camptoloba",3985911496,"","AGO",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
15.216667,-4.483333,"Landolphia camptoloba",2515945262,"Benseké, c. 30km South-West of Kinshasa (Leopoldville).","COD",NA,1957,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
23.2,-8.533333,"Landolphia camptoloba",2517462478,"Tshibalaka, Terr. Kapanga.","COD",NA,1957,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
25.05,-10.316667,"Landolphia camptoloba",1839937794,"Haut-Shaba (Zaire), Region de Kolwezi, Route Kolwezi-Nasondoye-Kasofu, 63 km NW Kolwezi","COD",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
15.283333,-5.633333,"Landolphia camptoloba",2517611110,"Kikuya (collect. Mfidi Malele).","COD",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.916667,-0.683333,"Landolphia camptoloba",4066498997,"Makande surroundings, c. 65 km SSW of Booué. Makande.","GAB",NA,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
16.20389,-6.61306,"Landolphia camptoloba",3855099565,"Município de Kimbele, near village Kibokolo; between secondary forest and savanna","AGO",NA,2015,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
16.17083,-7.60417,"Landolphia camptoloba",3855109167,"Município de Altocauale, tree in savannah near village Kakaluidi","AGO",NA,2016,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
16.24861,-6.48892,"Landolphia camptoloba",3855107063,"Transition zone in disturbed foret mosaics, near village Kiluvualu, Município Milunga","AGO",NA,2018,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
16.333333,-4.566667,"Landolphia camptoloba",1839937768,"Plateaux Batékés (zone Maluku), 1 km au sud-est du village Mungata, rivière Vué","COD",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
16.2,-4.433333,"Landolphia camptoloba",1839937765,"Plateaux Batékés (zone Maluku), Bankana, à 1 km du pont sur la Lufimi en direction de Kinshasa","COD",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
24.183333,-11.116667,"Landolphia camptoloba",2516104726,"Prov. Western. Distr. Mwinilunga. Zambesi R.4 miles north of Kalene Hill Mission.","ZMB",NA,1952,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
18.668667,-12.565824,"Landolphia camptoloba",3985792854,"","AGO",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
