"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
115.52,38.23,"Leersia japonica",4045220501,"","CHN",NA,1982,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
117.18,32.97,"Leersia japonica",4043567434,"","CHN",NA,1986,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
114.37,36.35,"Leersia japonica",4045190290,"","CHN",NA,1972,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
134.52467,34.22348,"Leersia japonica",43214148,"Naruto City","JPN",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
134.167327,34.08511,"Leersia japonica",1830603024,"","JPN",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
127.6,37.2,"Leersia japonica",143207019,"","KOR",NA,2007,"OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
127.8,35.1,"Leersia japonica",143206634,"","KOR",NA,2005,"OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
126.6,36.2,"Leersia japonica",143206687,"","KOR",NA,2005,"OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
126.8,34.6,"Leersia japonica",143206901,"","KOR",NA,2006,"OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
126.8,34.7,"Leersia japonica",143206961,"","KOR",NA,2006,"OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
