"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
98.9,26.491389,"Lepidium virginicum",1998821818,"Luobenzhuo Xiang. Baodeng Cun, in the vicinity of VBifu bridge, just above the Nujiang, E side of Gaoligong Shan.","CHN",NA,2005,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COLLECTION_MATCH_FUZZY"
153.57,-28.53,"Lepidium virginicum",2827320116,"Brunswick Heads.","AUS",2000,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
6.65269,47.4781,"Lepidium virginicum",1112452862,"","FRA",5000,2005,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2.55213,45.46355,"Lepidium virginicum",1114607419,"","FRA",5000,1979,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.45301,46.09388,"Lepidium virginicum",1115654599,"","FRA",5000,2009,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2.43244,44.65265,"Lepidium virginicum",1113765614,"","FRA",5000,2005,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
4.72446,45.36113,"Lepidium virginicum",1113246047,"","FRA",5000,1994,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
6.45043,46.40283,"Lepidium virginicum",1101731490,"","FRA",5000,1976,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
5.97426,47.22716,"Lepidium virginicum",1112703232,"","FRA",5000,2010,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.45153,45.91379,"Lepidium virginicum",1113332909,"","FRA",5000,2002,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-0.36948,42.98155,"Lepidium virginicum",1119919462,"","FRA",5000,2012,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
0.11568,43.08566,"Lepidium virginicum",1119762089,"","FRA",5000,2008,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.32518,46.36447,"Lepidium virginicum",1113630387,"","FRA",5000,2003,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-1.62098,43.29539,"Lepidium virginicum",1119633194,"","FRA",5000,2009,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.57583,45.46297,"Lepidium virginicum",1114300514,"","FRA",5000,1992,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.84824,46.54188,"Lepidium virginicum",1108768812,"","FRA",5000,2003,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
4.21755,45.5479,"Lepidium virginicum",1114777850,"","FRA",5000,2008,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-1.45016,49.07241,"Lepidium virginicum",1122096278,"","FRA",5000,2005,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.06558,46.81513,"Lepidium virginicum",1108295700,"","FRA",5000,1994,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
5.91571,46.14742,"Lepidium virginicum",1103575442,"","FRA",5000,2003,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2.40982,46.81363,"Lepidium virginicum",1110061223,"","FRA",5000,2007,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-0.02574,43.44185,"Lepidium virginicum",1119845510,"","FRA",5000,2010,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.3268,46.6346,"Lepidium virginicum",1114717168,"","FRA",5000,1976,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-1.23883,43.1309,"Lepidium virginicum",1119855677,"","FRA",5000,2011,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
3.32305,46.00428,"Lepidium virginicum",1114254393,"","FRA",5000,1992,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2.04649,45.1002,"Lepidium virginicum",1115774553,"","FRA",5000,1999,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
2.54173,46.72419,"Lepidium virginicum",1109913930,"","FRA",5000,2005,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
1.6115,47.257,"Lepidium virginicum",1109929152,"","FRA",5000,2007,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
151.05589,-32.660386,"Lepidium virginicum",1070852239,"locality withheld","AUS",5,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-112.0589,34.24673,"Lepidium virginicum",1846476175,"Agua Fria National Monument, Silver Creek, west of Bloody Basin Road.","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.25265,33.3033,"Lepidium virginicum",2572936546,"Tonto National Forest, ca. 3-5 km east of Queen Valley; north of Hwy 357 and west of Hewitt Canyon Rd.","USA",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.06758,34.285312,"Lepidium virginicum",1846550382,"Tonto Forest Road # 405, at Tonto Creek, 4.4 miles S of Rt. 260.","USA",451,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.368164,33.419398,"Lepidium virginicum",1846550388,"Peralta Trail between picnic area & Fremont Saddle, Superstition Mtns.","USA",484,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.102017,34.102133,"Lepidium virginicum",1846495386,"Agua Fria National Monument, East bank of the Agua Fria River.","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.071999,34.853733,"Lepidium virginicum",2572935728,"Along Verde River; 0.7 mi southeast of confluence with Sycamore Canyon.","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-119.889067,39.11505,"Lepidium virginicum",2572938005,"Sierra Nevada, Carson Range, 7.1 road miles W of Highway 395 on Highway 50 to Spooner Summit, dry fork of Clear Creek","USA",NA,2018,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.050833,30.648889,"Lepidium virginicum",1846509165,"6.5 km northwest of Magdalena on road to Tubutama.","MEX",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.1402,32.512467,"Lepidium virginicum",1846498731,"Tortolita Mountains, WNW side.","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.72084,34.1628,"Lepidium virginicum",2861422320,"Tonto National Forest, Hillside south of mouth of Red Creek along jeep road past corrals.","USA",NA,2019,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.659283,32.32575,"Lepidium virginicum",1846487593,"Arizona National Scenic Trail, Santa Catalina Mountains, Coronado National Forest, eastsoutheast of West Spring.","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-108.7575,31.323056,"Lepidium virginicum",1846504014,"Puerto San Luis, Sierra San Luis, 76.8 km east of Aqua Prieta on MEX 2.","MEX",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-109.139722,31.314722,"Lepidium virginicum",1846504027,"Arroyo Guadalupe at MEX 2, Rancho Puerta Blanca (Cuenca Los Ojos Reserve), ca. 36 km east of Agua Prieta.","MEX",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.680611,32.335889,"Lepidium virginicum",1846557146,"Tonto National Forest. Molino Canyon. Arizona Trail. 1 mile northeast of Molino Canyon Camp Ground.","USA",NA,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.0298,32.4809,"Lepidium virginicum",1846555287,"Tortolita Mountain Park, Cougar Canyon access","USA",30,2013,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.7404,33.85661,"Lepidium virginicum",1846483185,"Tonto National Forest, FS trail 404 1.25 mile south of Bartlett Dam Road and Horseshoe Dam Road intersection.","USA",NA,2016,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.144517,33.329983,"Lepidium virginicum",1846485975,"Whitford Canyon, along Arizona National Scenic Trail.","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-108.941111,31.192778,"Lepidium virginicum",2572935328,"Rancho El Pinito, Cajón Bonito, Sierra San Luis, Cuenca Los Ojos Foundation, 57.9 km (by air) ESE Agua Prieta","MEX",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.1980207,34.4379394,"Lepidium virginicum",1846481555,"Barbershop Trail #91 west of Barbershop Canyon.","USA",NA,2008,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-109.268611,30.576944,"Lepidium virginicum",1846517129,"Campo Bonito in Arroyo el Chinosos (= El Tigre), 39.9 km (by air) WNW of Bavispe, 45.9 km (by air) ENE of Nacozari de Garcia, Sierra el Tigre.","MEX",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.086389,31.081944,"Lepidium virginicum",1846517146,"18.9 km southeast of Cananea on MEX 2, 1.8 km east (by air) Ignacio Zaragoza, Rio San Pedro drainage out of Sierra de los Ajos.","MEX",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.4583,33.5285,"Lepidium virginicum",1846493021,"Tonto National Forest, Goldfield Mountains, Willow Creek, off of Arizona Highway 88.","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.06398,27.96041,"Lepidium virginicum",2572939202,"San Carlos, drainage N of El Esterito de Bahia San Carlos.","MEX",NA,2017,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.9851,33.0819,"Lepidium virginicum",1846493133,"Along Arizona Trail, on west flanks of Tortilla Mountains, overlooking Ripsey Wash, just south of Florence-Kelvin Highway along old jeep road.","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.963306,33.881556,"Lepidium virginicum",1846548709,"Spur Cross Ranch Conservation Area. Right bank of Cave Creek, north of Maricopa Mine.","USA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.32444,34.271453,"Lepidium virginicum",1846550519,"West side Rt. 87, 2.8 mi. north of Payson.","USA",438,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.610717,36.05635,"Lepidium virginicum",1846556893,"N of Edenton, Bennet Millpond, Valhalla","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-96.52806,30.34583,"Lepidium virginicum",1846550643,"At a Corps of Engineers Park on Lake Somerville.","USA",3008,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.190417,34.34825,"Lepidium virginicum",1846483446,"North side of Black Mountains, Black Canyon Wash. west of highway 93 and southeast of Santa Maria River.","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-108.8224,31.8277,"Lepidium virginicum",1846550602,"Peloncillo Mtns; E slope of Tank Mtn, about 9 mi (air) SSW of Animas","USA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.874469,33.825137,"Lepidium virginicum",1846550498,"Cave Creek Road - 1st large wash.","USA",2000,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.902703,35.148186,"Lepidium virginicum",1846550668,"Hualapai Mountains, Hualapai Mountain Park.","USA",9154,1951,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.790973,34.248926,"Lepidium virginicum",1846550612,"Canyon Creek Campground.","USA",1000,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.208635,33.730105,"Lepidium virginicum",1846550756,"Roosevelt, 8 miles NW of at Rock Creek.","USA",3036,1952,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-108.3192,31.7984,"Lepidium virginicum",1846550725,"Sierra Rica Mts., at the NE end of range.","USA",1000,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-109.832768,32.76029,"Lepidium virginicum",1846550925,"6.6 mi down Stadium Rd. S toward Pinaleno Mtns. on Fry Mesa Rd. out of Thatcher.","USA",3000,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.206996,34.596933,"Lepidium virginicum",1846551011,"Along bank of Butte Creek. Bagdad 15'.","USA",5000,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.22417,33.095,"Lepidium virginicum",1846550853,"Box Canyon.","USA",1506,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.144699,33.112616,"Lepidium virginicum",1846549221,"North of Cochran and Gila River along Arizona Trail Passage 16 Gila River Canyons as trail turns north at the beginning of the Canyons segment.","USA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
9.477226,56.186387,"Lepidium virginicum",2899365376,"","DNK",32.87,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
136.703203,36.351533,"Lepidium virginicum",1828809561,"","JPN",NA,1967,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
136.37471,36.384977,"Lepidium virginicum",1828809598,"","JPN",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
136.613747,36.381154,"Lepidium virginicum",1828824606,"","JPN",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-100.665833,25.679444,"Lepidium virginicum",1894422680,"Ciudad Monterrey, 24, mi, W, carretera 40","MEX",50,1964,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-100.275833,25.346667,"Lepidium virginicum",1894423399,"Laguna de Sánchez, Santiago","MEX",50,2004,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-97.015167,17.971222,"Lepidium virginicum",1894001899,"Santa María Tecomavaca","MEX",90,2003,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-97.6543,19.7659,"Lepidium virginicum",4041150436,"Chilapa de Vicente Guerrero, En un lugar llamado Ixapan, sobre la calle Benito Juárez, a 100 m del cementerio.","MEX",NA,2014,"PRESERVED_SPECIMEN",""
-64.3828,18.7417,"Lepidium virginicum",1322118474,"Neptunes Treasure Ground.","VGB",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-67.0564,18.469,"Lepidium virginicum",1928269710,"Sub-Station Isabela","PRI",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-73.55181,41.44931,"Lepidium virginicum",1930605620,"Town of Southeast, Doansburg Preserve, ENE of Mill Farm Lane and WSW of Gage Road, 0.2 mi SE of Doansburg Road","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-105.6644,33.0397,"Lepidium virginicum",1930041439,"3 mi e. of Cloudcroft on Hwy 82","USA",NA,2002,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-106.778337,32.530004,"Lepidium virginicum",1929894349,"about 15 mi N of Las Cruces in the Dona Ana Mts., on bajada on the W side of Summerford Mtn.","USA",NA,1973,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-108.6246,34.2665,"Lepidium virginicum",1929336852,"Mogollon Mountains, of Gila National Forest, near Ben Lilly Campground, bordering Willow Creek","USA",969,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-111.015556,42.672222,"Lepidium virginicum",1929289917,"Crow Creek Road, 3.2 km (2 mi) northeast of the Idaho border, 9 km (5.5 mi) air distance southwest of downtown Afton","USA",NA,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
