"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
114.333333,-27.733333,"Leptosema tomentosum",2829907970,"22.1km E of Kalbarri on road to Great Northern Highway.","AUS",NA,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.513333,-27.875556,"Leptosema tomentosum",2830432848,"21 km from NW Coastal Highway W along road to Kabarri.","AUS",50,2000,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.495833,-29.869167,"Leptosema tomentosum",2853623762,"Along the railway reserve between Buntine and Latham","AUS",NA,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.166667,-30.7,"Leptosema tomentosum",2829298002,"10 km NNE of Cadoux, Kokardine.","AUS",1000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.616667,-27.316667,"Leptosema tomentosum",2830087693,"23 km. south of Nerren Nerren on North West Highway, c. 179 km. north of Geraldton. At vermim Proof Fence.","AUS",1000,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.676944,-27.446389,"Leptosema tomentosum",2830360044,"100 km N of Northampton on North West Coastal Highway.","AUS",50,1997,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.616667,-28.766667,"Leptosema tomentosum",2827140661,"Near Geraldton","AUS",NA,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.051171,-30.429133,"Leptosema tomentosum",2829270260,"Wheatbelt; c. 8.5 km NW of Wialki and c. 2.25 km NW of Dajoing Rock","AUS",1000,1990,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120,-31.883333,"Leptosema tomentosum",3749155794,"10 - 13 km N of S end of State Vermin Fence No 7; 67 - 70 km S ofGreat Eastern Highway","AUS",1000,1985,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.15,-27.766667,"Leptosema tomentosum",2828703732,"5 km S of Kalbarri, airstrip.","AUS",1000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.51,-29.900278,"Leptosema tomentosum",2854008037,"55 km S [SSE] of Perenjori","AUS",3000,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.65,-30.15,"Leptosema tomentosum",2830716962,"7 km S of Wubin.","AUS",3000,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.633333,-30.166667,"Leptosema tomentosum",2829989022,"5.3 ml. [8.5 km] from Wubin, toward Wongan Hills.","AUS",3000,1968,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.433333,-29.75,"Leptosema tomentosum",2830160794,"Near Latham.","AUS",5000,1973,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
113.958035,-27.173602,"Leptosema tomentosum",2419356334,"","AUS",250,1995,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
114.139887,-27.232611,"Leptosema tomentosum",2854051217,"9.3 km S along Grey Street from Kalbarri,","AUS",100,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.5,-27.583333,"Leptosema tomentosum",2854051342,"Kalbarri National Park","AUS",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.628056,-27.129722,"Leptosema tomentosum",2854115531,"1 km on track to Compressor Station","AUS",3000,1987,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
114.276969,-27.140692,"Leptosema tomentosum",2853642840,"Cooloomia Nature Reserve, on E boundary in S tongue of reserve. 13. 5 km N of State Barrier Fence at 34.4 km E by fence track of NW Coastal Highway.","AUS",100,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.426595,-31.189551,"Leptosema tomentosum",2430060091,"2 mi. E of Boondi.","AUS",500,1967,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
114.528639,-27.465194,"Leptosema tomentosum",2854359208,"Eurardy Station, which is ca 43 km N of Kalbarri turn-off on the North West Coastal Highway and N of the Murchison River in the Shire of Northampton. Site is along the firebreak on the W boundary which adjoins Kalbarri National Park, south of Bungabandi Creek","AUS",100,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
