"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
149.3175,-37.1989,"Leptospermum scoparium",2829087884,"Genoa River.","AUS",500,1977,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
173.67,-35.07,"Leptospermum scoparium",2829942396,"Whangaroa County c. 10.5 km due W of Kaeo, at junction of Otangaroa and Taratara Roads.","NZL",2000,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.72,-37.38,"Leptospermum scoparium",2828010541,"Wallagaraugh River crossing on Princes Highway, c. 40 km southwest of Eden.","AUS",2000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
174.5417,-37.0153,"Leptospermum scoparium",2829012334,"Tamaki Ecological Region: Waitakere Ecological District: Auckland Centennial Park: Mt Donald McLean, summit area.","NZL",NA,1998,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.007853,-38.340325,"Leptospermum scoparium",3776343540,"Dromana Bushland Reserve. Off Old White Hill Road, ca. 40-50 metres SE from intersection with White Hill Road.","AUS",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
151.22757,-34.017673,"Leptospermum scoparium",1074118727,"locality withheld","AUS",10,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
149.447726,-37.033725,"Leptospermum scoparium",1073531940,"locality withheld","AUS",100,1990,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-158.1,21.4167,"Leptospermum scoparium",37416528,"Palikea Trail, Waianae Mts","USA",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.1513,-38.7291,"Leptospermum scoparium",3129422364,"","AUS",50,1986,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
144.1503,-38.3408,"Leptospermum scoparium",1645454355,"","AUS",1,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.4055,-38.7788,"Leptospermum scoparium",1641088162,"","AUS",1.5,1983,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.4961,-37.1622,"Leptospermum scoparium",1645761422,"","AUS",1.5,1995,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.5922,-37.3225,"Leptospermum scoparium",1645828229,"","AUS",1.5,1996,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
144.1069,-38.3311,"Leptospermum scoparium",1646962828,"","AUS",1.5,2007,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
