"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-52.47582,-31.543818,"Lupinus bracteolaris",3947354342,"","BRA",6,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-52.408611,-31.764444,"Lupinus bracteolaris",2302314024,"Areal Lucídio Pinheiro. Entre o Clube Campestre e a Cosulati. Campos de clima temperado (pampas), em campos arenosos.","BRA",NA,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-55.254591,-34.816358,"Lupinus bracteolaris",3399309508,"","URY",130,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.123789,-34.85327,"Lupinus bracteolaris",3947273736,"","URY",2045,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.052803,-34.373345,"Lupinus bracteolaris",3759062488,"","URY",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.257825,-31.864692,"Lupinus bracteolaris",3383833611,"","ARG",15,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-54.789645,-34.891641,"Lupinus bracteolaris",3399075942,"","URY",31,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.455816,-33.040864,"Lupinus bracteolaris",3314299583,"","ARG",39,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-54.45594,-32.9149,"Lupinus bracteolaris",3698323897,"","URY",31,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-53.594539,-34.010813,"Lupinus bracteolaris",4014923892,"","URY",50,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-53.728572,-32.137703,"Lupinus bracteolaris",4034914362,"","URY",14,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.327729,-31.822074,"Lupinus bracteolaris",3383916348,"","ARG",31,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-50.974444,-28.511944,"Lupinus bracteolaris",3343180355,"Associação dos Motoristas de Vacaria","BRA",NA,2020,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-54.88333,-31.36667,"Lupinus bracteolaris",3800709881,"Estância Ponche Verde do Sr. Riva Silva 4 km a sul-sudoeste da sede.","BRA",NA,1982,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-52.4675,-28.303333,"Lupinus bracteolaris",3127353523,"10 km a sudoeste de P. Fundo, ao longo da rodovia RS/153 e 34,3 km a nordeste da BR - 386.","BRA",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-51.015556,-30.276667,"Lupinus bracteolaris",1090610783,"Parque Estadual Itapuã","BRA",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-52.243056,-31.455278,"Lupinus bracteolaris",2997683482,"Areal Lucídio Pinheiro. Entre o Clube Campestre e a Cosulati.","BRA",NA,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-57.17761,-33.134387,"Lupinus bracteolaris",3947280836,"","URY",32,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-51.182778,-28.339167,"Lupinus bracteolaris",2464817319,"","BRA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-55.32538,-34.648071,"Lupinus bracteolaris",3408129072,"","URY",7,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-55.250802,-34.900358,"Lupinus bracteolaris",3961126761,"","URY",166,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-54.575971,-34.801324,"Lupinus bracteolaris",3384843217,"","URY",5,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-54.188583,-32.366152,"Lupinus bracteolaris",3961051489,"","URY",306,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
