"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-61.6,8.2,"Marlimorimia psilostachya",1456089536,"Este de Río Grande, ENE de El Palmar, cerca de los limites del Estado Bolívar","VEN",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-69.08,-11.2,"Marlimorimia psilostachya",1563195514,"Department of of pando, Nicolas Suarez, Bolivia. 22 km, southwest of Cobija by road, 2 k. west of Cahuerinha.","BOL",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-64.641388,-9.234167,"Marlimorimia psilostachya",1095263267,"Canteiro de obras da UHE Jirau, margem esquerda do Rio Madeira, próximo ao escritório da LEME.","BRA",NA,2014,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-48.456666,-1.430555,"Marlimorimia psilostachya",1095257247,"Bosque Rodrigues Alves","BRA",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-64.351111,-9.243889,"Marlimorimia psilostachya",1095255720,"Ao longo da BR-364, 6km a leste de Jaci-Paraná. Fragmento florestal 1km a SE da rodovia.","BRA",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-48.753055,-1.847222,"Marlimorimia psilostachya",2285834764,"Próximo a ponte do Rio Moju","BRA",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-52.7,4.05,"Marlimorimia psilostachya",1456224039,"Station des Nouragues, Bassin de l'Approuague, Arataye","GUF",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-83.4,8.7333,"Marlimorimia psilostachya",2236002941,"Cantón de OSA. R.F. Golfo Dulce. Península de Osa. Punta Pagos, a 30.1 Km de Chacarita, cerca de Los Mogos.","CRI",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID"
-59.95,-2.37,"Marlimorimia psilostachya",1563231263,"Municipio de Manaus, Distrito Agropecuario da SUFRAMA Rodovia BR-174, km 64 depois 7 km LEste na ZF3, Fazenda Porto Alegre.","BRA",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-72.9294,-11.8733,"Marlimorimia psilostachya",1319408538,"Distrito Camisea, Campamento Malvinas, SI-MAB Plot Malvinas","PER",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
