"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
18.52,-33.55,"Metalasia adunca",1096720136,"Flora of South Africa. Cape Province. Malmesbury Div.: Near road to Pella, 1 km W of Pella.","ZAF",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.48,-33.5,"Metalasia adunca",1096720165,"Flora of South Africa. C.P., Malmesbury Div., W Dassenberg. Grid. Ref. Syst. 3318 DA (Cape Town)","ZAF",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.65,-32.15,"Metalasia adunca",1096720154,"Flora of South Africa. Cape Province. Piquetberg Div.: Off road Piquetberg-Elandsbaai, 3 km NW Grootkop Peak.","ZAF",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
18.585112,-33.490311,"Metalasia adunca",2963815478,"","ZAF",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
17.57134,-30.69735,"Metalasia adunca",2988303323,"","ZAF",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
18.662439,-32.683851,"Metalasia adunca",2988363395,"","ZAF",145,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.769442,-32.002262,"Metalasia adunca",3344082718,"","ZAF",59,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.248714,-33.593712,"Metalasia adunca",3067768429,"","ZAF",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.3596,-33.4933,"Metalasia adunca",1890665457,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
18.76056,-33.87722,"Metalasia adunca",287279868,"Stellenbosch Dist. Bottelary. Bellevue.","ZAF",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
18.38027,-33.15057,"Metalasia adunca",2988282310,"","ZAF",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
18.051065,-31.328316,"Metalasia adunca",2988308359,"","ZAF",232,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.13367,-31.88989,"Metalasia adunca",2988325324,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
18.518422,-31.841739,"Metalasia adunca",2456514967,"","ZAF",6,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.452253,-33.715553,"Metalasia adunca",3399492219,"","ZAF",175,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
