"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
10.8,-1.066667,"Millettia kennedyi",1261916228,"Komi, near Sindara.","GAB",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
9.883333,-1.933333,"Millettia kennedyi",3400981486,"Rabi, Shell/Gabon, 1 km E of northern end of Airstrip.","GAB",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
10.8,-3.133333,"Millettia kennedyi",4020477393,"46 km on the road from Tchibanga to Mayombe.","GAB",NA,1992,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
10.771717,-3.524933,"Millettia kennedyi",2517230043,"16 km SE of Mayumba.","GAB",NA,2015,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
9.480556,-2.117222,"Millettia kennedyi",575323770,"Tassi-sud.","GAB",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
10.283333,3.8,"Millettia kennedyi",2516212697,"Douala, 20 Km from Edea on (new) Douala road.","CMR",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.147333,-1.132667,"Millettia kennedyi",2515892079,"Waka National Park, along Oghoubi river, c. 2 km SE of camp Oghoubi.","GAB",NA,2007,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.8,-4.183333,"Millettia kennedyi",2517353512,"chantier forestier de la Loundji. Mayombe.","COG",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.15,-4.333333,"Millettia kennedyi",2517801447,"3 km on the road N6, Louvoulou to Kakamoéka.","COG",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.174722,-1.151944,"Millettia kennedyi",4061069116,"Parc national de Waka","GAB",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
10.5433,-1.9983,"Millettia kennedyi",1675856455,"Road from Peny to Mouila, 16 km S of Peny.","GAB",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
9.833333,-1.916667,"Millettia kennedyi",2013875564,"Rabi.","GAB",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
10.166667,0.966667,"Millettia kennedyi",2013865618,"Crystal Mountains, 25m on transect F22.","GAB",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
10.336667,-2.183333,"Millettia kennedyi",2013848782,"70 km along the forest road Doussala-Bongo.","GAB",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
9.733333,-2.5,"Millettia kennedyi",1258393351,"Setté Cama. Coastal forest along edge of lagoon on sandy soil.","GAB",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
10.016667,-0.2,"Millettia kennedyi",1261550293,"South of Estuaire du Gabon along Remboué River; British Gas site.","GAB",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
2.71194,6.48,"Millettia kennedyi",4066528725,"Near Tchakou, water course, branch of Adjara river, leading to Nigeria and the Ouémé river.","BEN",NA,2000,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
16.183333,2.366667,"Millettia kennedyi",2517395477,"Dzanga-Sangha Reserve. NDAKAN gorilla study area, M 3950.","CAF",NA,1988,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.35,-1.75,"Millettia kennedyi",4020477394,"c. 40 km Mouila to Yeno.","GAB",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
9.06667,4.91667,"Millettia kennedyi",3866225302,"","CMR",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
