"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-41.2,-11.58,"Mimosa arenosa",1927796248,"Below summit of Morro do Chapeu. ca. 8km SW of the town of Morro do Chapeu to the West of the road to Utinga. D6","BRA",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-42.8745389,-15.1587145,"Mimosa arenosa",1931204397,"Alto da Serra do Espinhaço, estrada via Montividiu","BRA",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-105.05,19.5,"Mimosa arenosa",1928868737,"Chamela, sendero El Tejon, Jal.","MEX",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-95.101778,16.755694,"Mimosa arenosa",1257829364,"Mpio. Barrio de la Soledad. 2 km antes de llegar a las antenas de microondas de Palma Sola.","MEX",NA,2002,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-102.057778,19.012222,"Mimosa arenosa",1257892337,"Mpio. de Nueva Italia. Alrededores de la presa Francisco J. Múgica, camino parota.","MEX",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-104.98333,19.41667,"Mimosa arenosa",2807633661,"Rancho Cuixmala (or Cuitzmala), ca 2 km S of Hwy 200 in the hills on the NW side of Río Cuixmala","MEX",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-95.97167,15.84861,"Mimosa arenosa",2807608287,"Santiago astata","MEX",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-41.363333,-12.495556,"Mimosa arenosa",2998177784,"","BRA",NA,2002,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-39.03,-10.43,"Mimosa arenosa",2998568283,"10km north of Euclides da Cunha on road to Canudos.","BRA",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-40.17,-10.32,"Mimosa arenosa",2998561249,"Rodovia Juazeiro-Senhor do Bonfim (BR-407), km 100.","BRA",NA,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-74.236167,10.28075,"Mimosa arenosa",1328371850,"Sabanas de San Ángel","COL",NA,2016,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-37.401972,-8.079944,"Mimosa arenosa",1089142532,"Custódia / Sertânia","BRA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-35.663861,-6.586,"Mimosa arenosa",1089142519,"Estrada para Pilões","BRA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-42.494278,-15.172139,"Mimosa arenosa",1090850306,"Parque Estadual Montezuma, Borda de estrada - mata ciliar (borda).","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-43.985083,-18.611306,"Mimosa arenosa",1090850237,"Estrada Curvelo - Diamantina, Campo rupestre.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-43.639167,-18.143889,"Mimosa arenosa",1090850124,"Parque Estadual do Biribiri, Estrada para Pinheiros; campo rupestre.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-42.927222,-16.5925,"Mimosa arenosa",1090850173,"Parque Estadual de Grão Mogol, Estrada Francisco Sá-Grão Mogol, Cerrado.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-43.034917,-14.862583,"Mimosa arenosa",1090850106,"Parque Estadual Caminhos dos Gerais, Cerrado.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-43.7585,-18.470111,"Mimosa arenosa",1090850099,"Estrada Curvelo - Diamantina, Próximo ao trevo, beira de estrada.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-43.592028,-18.205583,"Mimosa arenosa",1090850129,"Parque Estadual do Biribiri, Trilha para cachoeira dos cristais. Campo rupestre.","BRA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-44.316667,-17.701111,"Mimosa arenosa",1090842420,"Serra do Cabral, Estrada para Várzea da Palma, pelo alto da Serra. Fazenda Serra do Cabral Agor-Indústria S/A. Campo arenoso úmido, perto da orla da mata ciliar.","BRA",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-67.033333,10.608333,"Mimosa arenosa",1260281969,"Municipio Vargas. Catia La Mar. Bosque muy seco del centro de Adiestramiento Naval (Canes).","VEN",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-101.415,17.813611,"Mimosa arenosa",1259586995,"39 km. n.w. of Zihuatenejo.","MEX",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.283333,10.033333,"Mimosa arenosa",1259100976,"Distrito Bolívar: Rocky mountain savanna, just S of El Zamuro, Fila El Purgatorio, 9 airline km NE of Bergantín.","VEN",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-40.8392047,-14.8698089,"Mimosa arenosa",1929265998,"Rodovia BR-4, 60km N da divisa Minas-Bahia","BRA",NA,1965,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-95.22033,16.3419,"Mimosa arenosa",1928490588,"2-4 km E of Tehuantepec on the road to Oaxaca (Route 190)","MEX",NA,1959,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-42.43,-14.08,"Mimosa arenosa",1930709830,"BR-030, 7km al E de Caitité, camino a Brumado","BRA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-44.5774547,-17.8906691,"Mimosa arenosa",1929781382,"Rod. BR-496, km 59, próximo do trevo para Brejo","BRA",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-38.88,-15.86,"Mimosa arenosa",1929942248,"Ramal Barrolandia/Faz. Boa Vista","BRA",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-101.85125,18.9394,"Mimosa arenosa",1931043239,"6 km al SW de La Huacana","MEX",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-40.12,-12.72,"Mimosa arenosa",1927959066,"Faz. Suibra (Boa Sorte), 18km a leste da cidade, sequindo a ferrovia","BRA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-38.7186,-8.0597,"Mimosa arenosa",1930106444,"Serra do Tigre.","BRA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-37.8237103,-8.9054629,"Mimosa arenosa",1930948137,"Reserva Biologica de Serra Negra","BRA",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-39.33,-12.17,"Mimosa arenosa",1928709689,"Serra Preta, 07km W do ponto de Serra Preta, Fazenda Santa Clara","BRA",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-65.649978,18.28577,"Mimosa arenosa",3044584955,"","PRI",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
