"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-66.33,-14.83,"Mimosa debilis",1928026327,"Estación Biológica del Beni, a 3.5 km de la Estación El Porvenir","BOL",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-43.26035,-16.4235,"Mimosa debilis",1930144137,"Serra do Espinhaço, ca. 31 km N.E. of Francisco Sá, on road to Salinas","BRA",5000,1969,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-54.23,-14.63,"Mimosa debilis",1928741860,"Xavantina","BRA",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-64.13,-13.35,"Mimosa debilis",1929757978,"Magdalena","BOL",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-49.7062215,-24.254964,"Mimosa debilis",1931115956,"Foot of Pico de Cajurú, 15km SE of Jaguariaíva","BRA",NA,1966,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-63.07,-17.77,"Mimosa debilis",1928197731,"Jardín Botánico de Santa Cruz, 12 km E of the center of Santa Cruz on the south side of the road to Cotoca","BOL",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-57.53,-17.87,"Mimosa debilis",1930049271,"Pantanal. Rio Paraguai, Fazenda Acurizal.","BRA",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-46.872778,-17.22555,"Mimosa debilis",1931041676,"Serra da Anta, summit of chapada, ca. 5 km S.E. of Paracatú","BRA",NA,1970,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-48.83,-13.75,"Mimosa debilis",1930964396,"Region of the southern Serra Dourada. 23 km east of Formoso","BRA",NA,1956,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-65.584275,-10.537713,"Mimosa debilis",1929866665,"Alrededor del pueblo de Cachuela Esperanza","BOL",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;COLLECTION_MATCH_FUZZY"
-42.3894,-17.99645,"Mimosa debilis",1928212387,"Serra do Espinhaço, Serra dos Três Irmãos, ca. 3 km southwest of Agua Boa, road to Jequitaí","BRA",5000,1969,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-62.25,-19.23,"Mimosa debilis",1927947361,"Loc. Cerro Toborochi, 10-12 km por brecha abandonada al SE de Estancia Toborochi","BOL",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-56.08333,-15.8667,"Mimosa debilis",1928782471,"Vicinity of Sto. Antônio de Leverger, 15-25 km south of Cuiabá","BRA",5000,1975,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-57.8783,-19.19,"Mimosa debilis",1930767392,"Cerro Mutún, 7 km al NE de la pista de aterrizaje del campamento minero (25 km al S de Puerto Suárez)","BOL",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-57.3,-25.133333,"Mimosa debilis",1261519971,"Western side of Río Piribebuy basin, 27 km W of Arroyos y Esteros.","PRY",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-59.583333,-18.333333,"Mimosa debilis",1258244531,"Santiago, cerrado near airstrip.","BOL",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
