"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-50.406111,-24.5525,"Mimosa hatschbachii",2521042877,"Rio Tibagi, Cerrado Bowman","BRA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-51.801944,-25.423333,"Mimosa hatschbachii",3331966346,"entrada para Fazenda Capão Redondo","BRA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-52.1225,-25.37603,"Mimosa hatschbachii",1929754826,"Canta Galo, arredores","BRA",NA,1985,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-52.055556,-25.572222,"Mimosa hatschbachii",2464791920,"Lagoa Seca","BRA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-51.4588489,-25.399472,"Mimosa hatschbachii",1931246485,"Rio Campo Real","BRA",NA,1980,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-51.906808,-25.420019,"Mimosa hatschbachii",2873446305,"Lagoa Seca - II","BRA",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-52.116806,-25.697842,"Mimosa hatschbachii",2873446306,"PR-662","BRA",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-52.354333,-25.952092,"Mimosa hatschbachii",2873446311,"Reserva Indígena de Mangueirinha, PR-281","BRA",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-51.666153,-25.420017,"Mimosa hatschbachii",2873446303,"BR-373, próximo à COAMO","BRA",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-51.526778,-25.039614,"Mimosa hatschbachii",2873446310,"próximo ao Rio Cachoeira","BRA",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-50.12,-24.737222,"Mimosa hatschbachii",1848249436,"PCH Rio Iapó, Fazenda Marumbi","BRA",NA,2016,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
