"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-71.520843,-32.238586,"Monnina philippiana",4046314750,"","CHL",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.723889,-34.728056,"Monnina philippiana",574651049,"Sector La Rufina. Zona de interseción Río Tinguiririca with Río Clarillio","CHL",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-71.533333,-32.133333,"Monnina philippiana",575113765,"1 km inland at Pichidangui","CHL",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-70.3,-33.333333,"Monnina philippiana",1258637135,"7.8 km below the center of Farellones.","CHL",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.407668,-29.996536,"Monnina philippiana",3947765830,"","CHL",285,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.3464,-33.3447,"Monnina philippiana",2235621968,"Santuario de la Naturaleza Yerba Loca","CHL",NA,2017,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
-70.318,-33.7413,"Monnina philippiana",2235621201,"Santuario de la Naturaleza Cascada de las Ánimas","CHL",NA,2017,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
-70.3014,-33.5535,"Monnina philippiana",2235621825,"Río Colorado","CHL",NA,2017,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
-71.4435,-33.0125,"Monnina philippiana",3391691046,"","CHL",NA,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-71.278611,-32.296389,"Monnina philippiana",2846602558,"Los Molles","CHL",NA,1992,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.005278,-32.99,"Monnina philippiana",1454545682,"Caleu. Slopes of Cerro del Roble","CHL",NA,2017,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-71.233333,-29.433333,"Monnina philippiana",1260281270,"Región de Coquimbo (IV). Carretera Panamericana, frente al mineral el Tofo.","CHL",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.489166,-32.247223,"Monnina philippiana",2350361812,"","CHL",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.3,-29.71666,"Monnina philippiana",1259034993,"IV Region, Carretera Panamericana, entre Cuesta Porotitos y Juan Soldado.","CHL",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
