"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-85.25,10.27,"Muellera monilis",1057279712,"Parque Nacional Palo Verde Area de Conservacinó del Tempisque. Márgenes de los Ríos Tempisque y Bebedero.","CRI",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-53.95,5.74,"Muellera monilis",1456430368,"Plage des Hattes","GUF",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-88.97,16.32,"Muellera monilis",1931122270,"San Pedro, Belize Agroforestry Research Center","BLZ",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-79.01666,1.15,"Muellera monilis",1258294953,"Midway between Borbón and La Tola. Riverside forest in water.","ECU",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-84.73531,9.96114,"Muellera monilis",3946837183,"Por el puente sobre boca del Río Barranca, a la par del río arriba del puente, en punta de tierra donde el hotel viejo.","CRI",NA,2019,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-52.282241,4.853522,"Muellera monilis",4029038322,"","GUF",NA,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-83.325,8.80278,"Muellera monilis",3763053462,"Costa Rica: Río Sierpe, entre el pueblo de Sierpe y la Laguna de Sierpe. lifestage: flowering. Alt.: 10 m.1999-04-24, Leg.: Aguilar,R. s.n.","CRI",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-83.666667,8.583333,"Muellera monilis",1258223390,"Parque Nacional Corcovado, Llorona.","CRI",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_NON_NUMERIC;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-58.18333,6.66666,"Muellera monilis",1260597750,"Area W of Demerara River, N and S of Wales. Mangrove, strand and secondary growth vegetation.","GUY",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-83.506222,8.859,"Muellera monilis",3946781578,"Sierpe. Ajuntaderas. Area de mangle y bosque a la orilla del camino. Humedal Nacional Terraba-Sierpe.","CRI",NA,2014,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
