"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-77.28333,-9.36666,"Nassella brachyphylla",1259763439,"Huascarán National Park. Quebrada de Yuraccocha, a lateral valley of Quebrada Rurichinchay Shrublands, grassland, and woods; slopes gentle to very steep; soils over rock or morainal material.","PER",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.283333,-10.133333,"Nassella brachyphylla",1259722562,"Pass above Conococha.","PER",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.68333,-8.88333,"Nassella brachyphylla",1260321972,"Prov. Huascarán National Park, Quebrada Alpamayo at foot of snow-free peak above Lago Jancarurish. Grassy slopes and bottoms on morainal materials. Parts apperar ti be frequently burned.","PER",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.45,-9.45,"Nassella brachyphylla",1259789821,"Huascarán National Park. Quebrada Llaca, NW side of valley.","PER",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.95,-8.81666,"Nassella brachyphylla",1259804117,"Huascarán National Park. Lower slopes of Cerro Pakla Puna grassland; steep to moderately- steep slopes, southern aspects.","PER",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.9,-16.483333,"Nassella brachyphylla",1986964197,"Prov. Murillo ; Trail from mina San Francisco to the pass 11 km N of Ventilla along the Rio Choquekkota","BOL",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-76.2,-11.33333,"Nassella brachyphylla",1259470203,"Corpacancha, S facing slope.","PER",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.73333,-8.83333,"Nassella brachyphylla",1259815534,"Huascarán National Park. Quebrada Los Cedros, Alpamayo tra- il. Puna grassland, N-facing, steep slopes; some cliffs and talus slopes.","PER",NA,1985,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-77.28333,-9.88333,"Nassella brachyphylla",1259780143,"Huascarán Nat. Park. Rio Pachacoto drainage between mineral springs & Puma- shimi. Grasslands w/intermittant stands of Puya raymondii; moderate to steep, N to E facing slopes; soils of sedimentary rock, appears poor; glacieated.","PER",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-65.5675,-17.745555,"Nassella brachyphylla",1258822509,"Localidad de Sacha Loma.","BOL",NA,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.1175,-16.261111,"Nassella brachyphylla",2268914936,"W slope of Cordillera La Paz ca. 6 air km N of La Paz, beyond N limits of El Alto, 4 km S of Milluni on road to Zongo.","BOL",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-78.91666,-0.36666,"Nassella brachyphylla",4031368534,"Comunidad Rumipata. Pasture in paramo.","ECU",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-78.58,-0.65,"Nassella brachyphylla",2848443469,"At the Panamerican highway, app. 2 km S of Cruce de Cordillera.","ECU",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-78.08333,-1.53333,"Nassella brachyphylla",4061603670,"Along Whymper-road ca 15 km S of Cruse de Arenales","ECU",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-78.85,-1.4,"Nassella brachyphylla",4061058141,"Road Ambato - Guaranda, where new and old road meet. Dry area.","ECU",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-78.88333,-0.85,"Nassella brachyphylla",4061759133,"At Lag. Quilotoa. Inner slopes of crater, densely grassed by sheep.","ECU",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-78.466,-0.633,"Nassella brachyphylla",47813037,"Between Limpio Punja and Ruminahui.","ECU",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-78.866,-1.533,"Nassella brachyphylla",47812946,"Along Whymper-road ca 15 km S of Cruse de Arenales","ECU",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
