"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-69.778889,-35.507222,"Nassella tenuis",1257678507,"Castillos de Pincheira.","ARG",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.420833,-42.468056,"Nassella tenuis",4031544004,"RN 256, en el Itsmo Carlos Ameghino, 8 km al E del monolito y 2 km de laguna La Damajuana, Pla. Valdés.","ARG",NA,1968,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.5,-40.416667,"Nassella tenuis",1257527150,"La Esperanza, al costado de ruta provincial 8.","ARG",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.386111,-46.664722,"Nassella tenuis",1258060716,"Ruta Nac. 3, entre Fitz Roy y Caleta Olivia.","ARG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.141126,-36.405668,"Nassella tenuis",1986946402,"Dpto. Chalileo, Ruta 151 hacia Algarrobo del Aguila, km 215","ARG",1371,1999,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-65.649246,-37.330933,"Nassella tenuis",3985821730,"","ARG",459,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-97.683333,19.466667,"Nassella tenuis",2270476873,"6.5 miles southeast of Libres on MEX 129.","MEX",8000,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-73.165833,-38.165833,"Nassella tenuis",1257678501,"Ruta 160, camino de Cañete a Tirúa, a 4 km de Cañete.","CHL",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-65.519167,-37.961111,"Nassella tenuis",1258033187,"Ruta Nacional 152, Sierra de Lihuel Calel.","ARG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.053611,-38.479722,"Nassella tenuis",1258032867,"Ruta Nacional 151, entre Villa Manzano y Bajada La Escondida.","ARG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-73.186389,-36.775833,"Nassella tenuis",1257678520,"Camino de Hualpén a Caleta Chome, ca. del desvío a Ramutcho.","CHL",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.6,-37.38333,"Nassella tenuis",1259525446,"General Acha","ARG",NA,1953,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-70.854167,-40.574722,"Nassella tenuis",4061651776,"Ruta Nac. 40, km 2145, camino de Paso Flores a Bariloche","ARG",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-68.391111,-35.320833,"Nassella tenuis",1258033113,"Ruta Nacional 184, de Los Toldos a Ruta Provincial 180.","ARG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-65.36666,-41.66666,"Nassella tenuis",1259525464,"Sierra Grande.","ARG",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
