"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.166667,-12.533333,"Noronhia gracilipes",1258822870,"Parc National de Montagne d'Ambre. Entre axe Gite et Petit lac.","MDG",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.96833,-22.48333,"Noronhia gracilipes",4061373838,"Fiv. & Fir. Ivohibe, Réserve Spéciale d'Ivohibe, 8 km E d'Ivohibe. Dans TL3. Forêt dense humide. Plante dans alcool.","MDG",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.133333,-12.55,"Noronhia gracilipes",4061513755,"Diana, Diego II, Joffreville, Joffreville, Montagne d'Ambre AP. Echantillon préservé en alcool.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.138333,-24.586111,"Noronhia gracilipes",4061315667,"Fort Dauphin. Commune: Iaboakoho. Fokotany: Iaboakoho. Village le plus proche: Andrazato. Forêt d'Analamahavondjaky.","MDG",NA,2019,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.564444,-19.143333,"Noronhia gracilipes",4061254772,"Atsinanana, Vatomandry, Ambalabe, Sahanionaka. Forêt de Vohibe, direction vers la rivière Vakoanina. Récoltés avec Tanjona, Mamy et Kôtsy. Échantillons préservés en alcool.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.216667,-17.916667,"Noronhia gracilipes",1257831097,"Ambodiriana, Tamatave.","MDG",NA,1953,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.416667,-18.933333,"Noronhia gracilipes",4031785769,"Environs d'Andasibe-Périnet. Higher areas with Weinmannia (Cunoniaceae) + Tambourissa (Monimiaceae). Low, moist areas with Ficus (Moraceae).","MDG",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.118203,-18.904292,"Noronhia gracilipes",1457583231,"","MDG",NA,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
49.216667,-12.45,"Noronhia gracilipes",4031389411,"Au sud D'Antsiranana, près de Joffre-Ville dans le Parc National de Montagne d'Ambre, au campement de Ben Freed. Echantillons préservés dans l'alcool.","MDG",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.77194,-17.5025,"Noronhia gracilipes",4031942495,"Sous-préfecture: Ambatondrazaka, Commune: Antanandava, zone d'occupation controlée d'Antenina. Sur piste entre Antenina et Ankosy à 2 km du village d'Antenina.","MDG",NA,2002,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.552778,-19.169167,"Noronhia gracilipes",4061910892,"Atsinanana, Vatomandry, Ambalabe, Ambinanindrano II. Forêt de Vohibe. Direction piste Tsitondroina, vers Ambatovaky. Echantillons préservés en alcool.","MDG",NA,2014,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.866667,-18.3,"Noronhia gracilipes",1257829447,"Andreba, au voisinage d'Anjozorobe","MDG",NA,1967,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.9375,-18.408333,"Noronhia gracilipes",2515726505,"Antananarivo, Anjozorobe, District: 3.2 km SE of primary and secondary school at Antsahabe near (ca. 1 km E) of Anjozorobe.Near Andriakely stream.","MDG",NA,1993,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
47.41666,-21.51666,"Noronhia gracilipes",4061515310,"Andrambovato, Fort-Carnot","MDG",NA,1955,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.421111,-17.286111,"Noronhia gracilipes",2517732563,"Toamasina, Préf. Fenerive Est; Station Forestière Tampolo, ca. 1.1 km à l'E du bureau en forêt sublittorale sur sable brun, GPS, Antananarivo.","MDG",NA,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
46.971667,-22.222778,"Noronhia gracilipes",4061619584,"Andringitra, Camp III, ca. 40 km S of Ambalavao, Andringitra Reserve, along tributary of Sahavatoy River. Collected with J. Raharilala, P.J. Rakotomalala, M. Andrianarisata & J. McDonagh.","MDG",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.735528,-14.445028,"Noronhia gracilipes",1426340088,"SAVA, Sambava, 3Km from Mandena village.","MDG",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
