"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
33.41277,-2.52777,"Obetia radula",4060976007,"(T1) Kahangala Ward, Bugabu Willage, Mwamayoka Island, bushland.","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.38333,-12.25,"Obetia radula",1259232460,"Forêt d'Orangea. Environs de Diégo-Suarez","MDG",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.358889,-4.764444,"Obetia radula",1257513393,"W Usambara Mountains, Mkuzu Forest Reserve, near Kashihwi Subvillage, between Mgambo and Kwefingo Villages.","TZA",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.468056,-13.131389,"Obetia radula",1257996739,"Antsiranana, district de Vohemar, commune Maromokotra, fokontany Ankijomantsina, Ankijomantsina forest. Plant preserved in alcohol. Guide: Edein.","MDG",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
36.83,-3.4,"Obetia radula",1096793049,"Tanzania. T2. Tengeru, Duluti, ca. 1 km S of main road to Moshi from Arusha Municipality.","TZA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
38.41,-5.05,"Obetia radula",3776338488,"Tanzania, Tanga, Korogwe District. Forest patch between Makweli and Kieti Villages along road to Bungu Village (Kaputi).","TZA",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
47.378283,-16.044787,"Obetia radula",2013685435,"","MDG",2,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
46.788804,-16.333562,"Obetia radula",3013912635,"","MDG",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
46.814325,-16.299276,"Obetia radula",2988668484,"","MDG",500,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
49.354023,-12.33533,"Obetia radula",3773325662,"","MDG",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
47.52947,-15.614383,"Obetia radula",3743321303,"","MDG",NA,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
38.766667,7.083333,"Obetia radula",2517706766,"along road from Shashamane to Dodolla, c. 25 km from Shashamane.","ETH",NA,1976,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
47.56666,-18.75,"Obetia radula",4031513575,"Ambohimanga","MDG",NA,1959,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.555834,-5.582329,"Obetia radula",3863880684,"Kangata","TZA",NA,1956,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
38.313644,-4.786379,"Obetia radula",3863883923,"Silvic office","TZA",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
37.933548,-4.266196,"Obetia radula",3863884792,"Vumari public land.","TZA",NA,1958,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
31.780551,-1.403991,"Obetia radula",3863887048,"Bweri N.A. forest reserve","TZA",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
36.5,-0.983333,"Obetia radula",2515628556,"East Africa, Kiambu District, Kikuyu Escarpement, near Italian Church.","KEN",NA,1970,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
45.35194,-16.46694,"Obetia radula",1323873745,"Andranomavo, Vilanandro","MDG",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
49.293611,-12.898333,"Obetia radula",4032167119,"Andrafiamena, forets aux alentours d'Anjahankely. A 770 m du point cote 554, au 52?","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
45.277861,-16.438861,"Obetia radula",4031863568,"Parc Nationale de Namoroka","MDG",NA,2016,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.75,-6.98333,"Obetia radula",4061345224,"Milawilila Forest Reserve, FTEA region T6","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.5025,-18.032778,"Obetia radula",4061053019,"Melaky, Maintirano, Belitsaky, Ankilimanarivo. Forêt de Beanka.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
36.10444,-3.42416,"Obetia radula",4061559467,"T2. Essimingori Forest Reserve. Rocky hilltops NW of Losimingori Village.","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.23333,-12.73333,"Obetia radula",1259231382,"Pentes du lac Sacré près Anivorano-Nord Argiles latéritiques, basalte.","MDG",NA,1960,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.91666,-18.71666,"Obetia radula",1261924738,"Environs de Tsiandro (Ouest) Restes de forêt à feuilles caduques","MDG",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
37.73333,-5.98333,"Obetia radula",4061074305,"T6. Kanga Forest Rerserve near Mkanga River, SE-facing slopes with scattered Manilkara sulcata, canopy ca. 10 m high, vegetation cover ca. 50%: understorey shrub Rinorea ferruginea; lianas Acacia brevispica and Saba comorensis; and herbs Achyranthes aspera and Impatiens spp.","TZA",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
47.25944,-15.02388,"Obetia radula",4060985498,"Sofia, Antsohihy, Antonibe, Anjajavy. Formation sur Tsingy (calcaire). Echantillons préservés en alcool. Récolté avec F. M. Randriatsivery, Nicolas (Rams)& Dezy.","MDG",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.191389,-22.678056,"Obetia radula",4061088336,"Sakaraha, Mahaboboka, Fokontany Marotsiraka Betsileo. Forêt Analavelona, campement Antanimena. Échantillons préservés en alcool.","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.438677,-15.926048,"Obetia radula",2864762315,"","MDG",9,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
47.31667,-16.45,"Obetia radula",439295813,"","MDG",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
47.478943,-15.736258,"Obetia radula",1807280156,"","MDG",8182,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
45.04842,-12.74614,"Obetia radula",3072821002,"","MYT",5000,2013,"HUMAN_OBSERVATION","COUNTRY_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
45.09178,-12.91654,"Obetia radula",3310196376,"","MYT",5000,2011,"HUMAN_OBSERVATION","COUNTRY_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
49.008372,-12.247558,"Obetia radula",3059065331,"","MDG",5,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
47.242222,-21.34,"Obetia radula",1257626714,"Lalangina, Alakamisy Ambohimaha, Tsangana II, inselberg Ambatomisoratra. Existence de trace de feu et de culture. Echantillon préservé en alcool","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.56916,-17.10583,"Obetia radula",4061011630,"Fiv. Andilamena, Commune Andilamena, Fkt. Ampamoho. Forêt d'Analabe à 12 km au Sud d'Andilamena. Forêt dense humide de moyenne altitude. Récolté par A. Ratodimanana, H. Razanatsoa, T. Razafindrabeaza, O. Rabezanahary, P. Rakotondramanza, J.C. Tolozafy & A. Ravelondrazana.","MDG",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
46.22454,-9.38689,"Obetia radula",3999256975,"Aldabra Atoll","SYC",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
36.270827,-0.465738,"Obetia radula",1802687066,"","KEN",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
47.720012,-14.917155,"Obetia radula",2980807929,"","MDG",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
49.323516,-12.328491,"Obetia radula",3039370162,"","MDG",30,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
37.95638,-4.52777,"Obetia radula",4061074864,"Ca. 6 km ESE of Hedaru in secondary vegetation on dry rocky hillside, dominated by spiny Euphorbia sp. and Acacia nilotica.","TZA",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
47.949167,-18.595,"Obetia radula",1257583441,"Anjozorobe, Tsarasaotra, Vodivato.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.53333,-15.26666,"Obetia radula",1261925509,"Entre Befandriana-Nord et Antsohihy lisière vestige forestier","MDG",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.175,-18.925,"Obetia radula",1258345847,"Ambohimanga au Nord de Tana, vallon boise du versant Sud","MDG",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.58333,-18.2,"Obetia radula",1261925519,"Antsingy Antsalova","MDG",NA,1955,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
38.68861,-4.94611,"Obetia radula",4061045091,"T3. Mzungui Forest Reserve, controlled by village government and supported by Tanzania Forest Conservation Group. Lowland evergreen forest with Diospyros mespiliformis, Millettia usaramensis and Terminalia sambesiaca.","TZA",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
45.0302,-12.64523,"Obetia radula",3073353504,"","MYT",5000,2013,"HUMAN_OBSERVATION","COUNTRY_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
49.259222,-12.07356,"Obetia radula",1831182520,"","MDG",3,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
44.816667,-19.15,"Obetia radula",1839405730,"Mahajanga (Majunga), Tsingy de Bemaraha south of the Manambolo river","MDG",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
29.8004,-1.245,"Obetia radula",1835725287,"","UGA",NA,1994,"HUMAN_OBSERVATION","COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
30.164,0.8283,"Obetia radula",1835725467,"","UGA",NA,1994,"HUMAN_OBSERVATION","COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
31.4724,1.7075,"Obetia radula",1835723644,"","UGA",NA,1994,"HUMAN_OBSERVATION","COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
30.0479,-0.2794,"Obetia radula",1835723675,"","UGA",NA,1994,"HUMAN_OBSERVATION","COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
29.9813,0.2371,"Obetia radula",1835723628,"","UGA",NA,1994,"HUMAN_OBSERVATION","COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
47.78111,-14.798428,"Obetia radula",2963827616,"","MDG",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
47.312513,-16.110523,"Obetia radula",2984517878,"","MDG",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
37.95,-1.05,"Obetia radula",3017828905,"Kijegge Hills, Kijege hill near the water tank.","KEN",NA,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
