"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
48.828889,-18.476944,"Oncostemum formosum",4061136304,"Commune rurale de Maroseranana, fokontany Ambatolampy.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.97055,-17.65194,"Oncostemum formosum",4061420761,"Fivondronana: Vavatenina, Commune: Ambodimangavalo, Fokontany: Manakambahiny I. Rivière d'Ihofika, Andranofantsona. Au bord des cours d'eau. Récolté avec J. Razafitsalama, S. Randrianasolo, A. Rakotondrafara, L. Randrianjanaka, A. Belalahy & R. Mananjara.","MDG",NA,2002,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.507778,-23.437222,"Oncostemum formosum",4061608847,"Vangaindrano, Commune Tsianofana, Fokontany Tsararano, vers 5 km au Sud Est du village Sahavia.","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.161944,-24.533056,"Oncostemum formosum",2268929407,"District: Fort-Dauphin. Commune: Manantenina. Fokotany: Antanitsara. Village le plus proche: Mahasoa.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.20305,-17.93194,"Oncostemum formosum",4061931796,"Forêt dense humide de basse altitude à Rendrirendry, Andratambe, Ambodiriana, Betampona RNI, Tamatave II. Piste pricipale à 4 km via piste Betakonana. Echantillon récolté avec C. Flores, A. Westerhaus et R. Randrianaivo; préservé en alcool.","MDG",NA,1998,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.123611,-24.863056,"Oncostemum formosum",1257812445,"Fort Dauphin, Mahatalaky, Belavenoko, S17 ou Agnalavao, 2,5 km à l’est de Belavenoko.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.165278,-24.798333,"Oncostemum formosum",4031723538,"Fort-Dauphin, Commune: Mahatalaky, Fokontany: Sainte-Luce, Elimoty.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.426725,-18.793373,"Oncostemum formosum",3415882317,"","MDG",4,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
49.28666,-14.32861,"Oncostemum formosum",4032073856,"SAVA, Andapa, Doany, Andranomilolo, forêt d'Andrakengy. Récoltés avec C. Rakotovao, Landrie, José & Victor.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.586944,-19.163889,"Oncostemum formosum",4032134558,"Atsinanana, Vatomandry, Ambalabe, Ambinanindrano II. Forêt au sommet d'Ambatoharanana. Echantillons préservés en alcool.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
