"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
3.31888,45.2839,"Onobrychis arenaria",1112903171,"","FRA",5000,1996,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
5.63942,45.79378,"Onobrychis arenaria",1104027285,"","FRA",5000,2007,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
6.38352,45.32327,"Onobrychis arenaria",1103183151,"","FRA",5000,2006,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
27.256731,36.875482,"Onobrychis arenaria",4057019135,"Greece - Kos","GRC",10,2013,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
8.809984,47.984882,"Onobrychis arenaria",922466955,"Wildkräuterpfad - Umläufle Tuttlingen","DEU",250,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
4.84281,47.98616,"Onobrychis arenaria",3487697004,"","FRA",4896,2018,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_UNPARSABLE;CONTINENT_DERIVED_FROM_COORDINATES"
3.42599,47.06503,"Onobrychis arenaria",3487821093,"","FRA",3359,1980,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_UNPARSABLE;CONTINENT_DERIVED_FROM_COORDINATES"
4.43898,48.01175,"Onobrychis arenaria",2502226220,"","FRA",4981,2012,"HUMAN_OBSERVATION","OCCURRENCE_STATUS_UNPARSABLE;CONTINENT_DERIVED_FROM_COORDINATES"
5.2146,45.80845,"Onobrychis arenaria",3933020372,"","FRA",10,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
5.23918,45.88397,"Onobrychis arenaria",3934251371,"","FRA",10,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.27835,45.33125,"Onobrychis arenaria",3934339100,"","FRA",10,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
6.30287,45.36904,"Onobrychis arenaria",3934450589,"","FRA",10,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
4.91823,45.54964,"Onobrychis arenaria",3934040243,"","FRA",10,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
35.275969,44.971345,"Onobrychis arenaria",2573917734,"","UKR",534,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
36.108283,51.577225,"Onobrychis arenaria",3759558460,"","RUS",31,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
11.491607,42.79709,"Onobrychis arenaria",3947526612,"","ITA",2,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
34.858245,44.874933,"Onobrychis arenaria",3499615864,"","UKR",31,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
34.070167,44.469872,"Onobrychis arenaria",3873686882,"","UKR",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
37.870248,49.98571,"Onobrychis arenaria",3858906895,"","UKR",20,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
